Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,ONNECTICUT TOTAL,35 56,36,30,300,88,32,47,65,70,77,90,94,991103,103,,209
,ASSACHU ETS TOTAL,55,49,2,300,90,7,29,40,60,72,91,97,102,204,,209
,JERSEY TOTAL,55 56,130,,600,53,5,10,15,22,34,44,55,82,,,209
,EW,,,,,,,,,,,,,,,,209
,,,,,,,,,137,182,35,,315,414,S31,,209
,EW YORK TOTAL,54 56,76,,998,257,20,74,,,,,,,,,209
,,,,,,,,,,,,29,,,,,209
,ENNSYLVANIA TOTAL,54 56,275,,465,38,1,2,4,9,18,29,39,55,96,,209
,COLUMBIA,54 56,44,,200,33,,,1,1,10,21,50,82,95,,209
,ENTUCKY TOTAL,54 535,70,,25,4,,1,1,2,2,3,3,6,8,,209
,TOTAL,57,,42,430,13353,50,67,77,89,98,137,166,174,210,,209
,,,,,,,,1,2,4,6,8,9,10,20,,209
,WEST VIRGINA TO TAL,54 55,23,,60,,,,,,,,,,,,209
,,,,,,,,,,,,,3,,,,209
,,54 55,27,,94,6,1,1,1,1,2,2,,4,5,,209
,GEORGIA TOTAL,54 56,19,,380,22,,1,1,1,2,2,2,3,6,,209
,TENNESSEE TOTAL,56,32,,40,2,,1,1,1,1,1,2,2,3,,209
,TOTAL,54 56,149,,90,7,,1,1,2,3,5,7,9,20,,209
,,,,,,,,,5,7,9,10,19,30,44,,209
,TOTAL,56,,,140,18,1,2,,,,,,,,,209
,TOTAL,53 54,25,,210,28,1,1,1,2,3,4,10,15,119,,209
,OHIO TOTAL,54 57,125,,454 154,3,,,1,1,1,1,2,3,7,,209
,WISCONSIN TOTAL,57,19,5,48,20,6,8,9,10,,18,,39,43,,209
,,,,,,,,,,2,,3,5,9,10,,209
,MISSOURI TOTAL,54 56,58,,40,5,1,1,1,,2,,,,,,209
,LOUISIANA TOTAL,55,50,,8,1,,,1,1,,,2,3,4,,209
,,54 55,143,,39,2,,,1,1,1,2,3,4,5,,209
,,54 55,26,,7,2,,1,2,2,2,3,3,4,5,,209
,UTAH TOTAL,54 55,31,,40,6,1,2,3,4,,6,7,8,10,,209
,,,,,,,,1,1,1,2,3,9,10,12,,209
,ALASKA TOTAL,54 55,40,,63,6,,,,,,,,,,,209
,CALIFORNIA TOTAL,54 56,,,110,5,,,1,1,2,3,5,6,9,,209
,OREGON TOTAL,54 55,74,,80,16,1,2,5,9,11,14,19,24,39,,209
,WASHINGTON TOTAL,,20,,130,47,11,,28,35,43,48,63,72,,,209
,,55 56,85,2,300,89,21,32,49,66,75,91,96,101,200,,209
,NEW AL,,,,,,,,,,,,,,,,209
,,,,,,,,,,,,,,109,231,,209
,MIO ATLNTC TOT AL,54 56,,,998,77,1,4,10,18,30,43,63,,,,209
,TOTAL,54 57,155,,430,28,,1,1,2,4,6,16,47,93,,209
,SOUTH EAST TOT AL,54 56,78,,380,8,,1,1,1,1,2,2,3,5,,209
,EST TOTAL,53 57,404,,210,,,1,1,2,3,5,8,10,29,,209
,,,,,,,,,,,,,,,10,,209
,GRT PLAINS TOT AL,54 56,91,,40,5,,1,1,2,2,3,6,9,,,209
,GULF SOUTH TOT AL,54 55,193,,39,2,,,1,1,1,2,2,3,5,,209
,TOT AL,54 90 c,57 7,,40,4,1,1,2,3,3,4,5,6,8,,209
,PAC COAST TOTAL,54 57,345,,130,9,,1,1,2,4,5,8,12,28,,209
,TOTAL,53 57,16889 1689,,998,31,,1,1,3,5,8,16,37,84,,209
,GRAND,,,,,,,,,,,,,,,,209
