Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,1755,,14,,30,10,,1,1,1,10,10,20,21,23,,101
,,1456,56,22,,40,10,,,1,1,7,10,11,22,29,,101
,,,55 56,36,,40,10,,,1,1,9,10 10,20,22,23,,101
,,,55,23,,60,6,,,,1,1,1,1,7,23,,101
,EVERETT MASS,1755,55,26,,100,19,,1,1,1,6,11,23,41,53,,101
,ELIZABETH,,55 56,20,,5,,,,,,1,1,1,1,1,,101
,,,55 56,23,,,,,,,,1,1,1,1,1,,101
,CAMDEN N J,,55 56,19,,9,,,,,,1,1,1,1,1,,101
,,,,,,,,,,,,,,,,1,,101
,PERTH AMBOY N J,,55 56,21,,10,,,,,,1,1,1,1,,,101
,TRENTON,,55 56,16,,39,6,,,,1,1,1,1,14,19,,101
,,,55 56,,,52,8,,,,1,1,1,7,16,31,,101
,NEW YORK,,55 56,39,,140,10,,,1,1,1,1,7,17,29,,101
,,,54 55,18,,140,10,,,,1,1,1,6,7,14,,101
,,,54 56,21,,39,10,,,1,1,1,13,17,27,31,,101
,PHILADELPHIA PA,,,94,,53,,,,,,,,,12,23,,101
,,,56,11,,11,,,,,,,,,,10,,101
,,,55 56,105,,536,6,,,,1,1,1,6,11,21,,101
,,,56,11,,74,10,,,1,1,1,5,11,14,17,,101
,,,,,,,,,,,1,,1,1,1,4,,101
,,,56,9,,5,1,,,,,1,,,,,,101
,,6,54 54,11,,37,4,,,,1,,1,1,5,6,,101
,,7156,,11,,50,8,,,1,1,6,7,10,11,12,,101
,,,55,94,,53,6,,,,1,1,1,6,12,23,,101
,,,546,53,,74,5,,,,1,1,1,5,8,12,,101
,,,55 56,147 47,,74,6,,,,1,1,1,5,10,18,,101
,,,,153,,20,,,,1,1,1,1,7,9,11,,101
,ALTOONA PA,1756,56,,,,4,,,,,,,,,,,101
,BRISTOL PA,,55 56,18,,15,,,,,,1,1,1,1,1,,101
,CHESTER PA,,55 56,18,,33,5,,,,1,1,1,6,10,17,,101
,ERIE PA,,56,25,,100,16,,,1,1,6,7,22,28,31,,101
,,,56,,,70,20,1,6,8,10,21,22,28,31,40 40,,101
,,,,23,,,,,,,,,,,,,,101
,,,55 56,,,60,18,,1,1,1,20,22,28,31,53,,101
,WASHINGTON oc,,55 56,17,,40,14,1,1,6,10,20,20,21,22,23,,101
,LOUISVILLE KY,,54,17,,95,33,3,3,8,14,31,38,42,54,57,,101
,,,,21,,66,18,,1,2,3,6,8,23,42,62,,101
,,,54 55,38,,95,25,1,2,3,6,8,27,39,52,62,,101
,,,54,13,,3,1,,1,1,1,1,2,2,2,3,,101
,,,55,10,,5,1,,,1,1,1,1,2,2,3,,101
,,,,23,,,,,,,,,,,,,,101
,,,55,,,5,1,,,1,1,1,2,2,2,3,,101
,,,54 54,31,,95,19,,1,2,2,3,,27,40,54,,101
,,,53,31,,66,12,,1,1,2,2,3,6,23,59,,101
,,,54 55,62,,95,16,,1,1,2,3,6,12,38,57,,101
,CHARLESTON W VA,,55,16,,100,31,,1,1,10,,39,42,66,77,,101
,TAMPA FLA,1755,35,21,,50,18,,1,1,1,21,28,29,31,42,,101
,ATLANTA GA,,55 56,16,,200,45,1,1,21,21,23,42,53,66,89,,101
,CHATTANOOGA TENN,,,14,,55,14,,1,1,6,7,10,23,29,42,,101
,,,55 56,18,,100,31,1,10,10,28,29,30,31,42,66,,101
,,,56,32,,100,23,,1,7,10,23,28a,30,39,,,101
,CHICAGO,1755,55,,,,,,,,,,,,,,,101
,,,,28,,100,17,,,1,1,6,11,23,31,53,,101
,,,55,20,,100,43,1,,31,38,41,53,60,66,83,,101
,,,55,29,,100,12,,,1,1,5,6,9,11,42,,101
,,,,77,,100,22,,1,1,5,10,20,37,51,64,,101
,EAST ST LOUIS ILL,,55 56,15,,300,101,31,38,42,51,55,57,89,201,315,,101
,,,55 56,14,,80,28,1,8,20,21,22,23,31,42,66,,101
,,,56,29,,300,66,8,2i,23,31,41,,,77,201,,101
,EAST CHICAGO IND,,,19,,200,39,1,5,6,10,11,21,,,103,,102
,,,55 56,26,,220,25,,1,1,2,21,28,29,38,41,,102
,,,55 56,21,,40,11,,1,1,2,6,11,,22,29,,102
,,,55 56,20,,20,7,,,1,1,2,3,14,20,22,,102
,,,,,,,,,,,,10,20,,29,,,102
,,,55 56,86,,220,20,,1,1,4,,,22,,39,,102
,OHIO,,55,23,,100,31,1,12,20,22,29,30,38,42,63,,102
,MO,,56,18,,100,23,6,8,10,17,21,23,28,29,30,,102
,,,55 56,9,,20,6,,1,1,,5,5,6,9,11,,102
