Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Page
,WATERBURY CONN,,,,,100,72,29,32,43,77,83,89,94,96,101,,,206
,,,56,22,30,300,98,43,50,67,71,75,89,95,103,201,,,206
,,,55 56,36,30,300,88,32,47,65,70,77,90,94,99,103,,,206
,,,55,23,,,,,32,,,,,,,,,,206
,,,,,2,300,96,,,48,63,91,95,99,103,203,,,206
,,1155,,26,4,300,B6,,10,31,40,67,77,94,101,210,,,206
,J,,56,,,180,,,16,18,40,48,54,63,77,166,,,206
,J,,55 56,25,3,234,42,4,,10,15,30,35,45,48,148,,,206
,CAMDEN,,55 56,2i,6,120,30,10,,13,16,,,,,,,,206
,,,,,,,,,,,,21,24,40,47,58,,,206
,PERTH AMBOY N J,,55 56,23,,120,29,3,,11,12,18,24,40,50,77,,,206
,TRENTON,,55 56,17,3,140,33,5,5,,11,18,26,37,54,58,,,206
,JERSEY N J,,55 56,23,22,600,120,24,43,67,82,,114,124,133,243,,,206
,NEW YORK N Y,,54 56,,,,,,,,,,,,,,,,206
,,,,50,,572,210,18,63,83,142,182,249,281,325,478,,,206
,,,54 55,25,4,998,362,103,89,210,,314,350,433,578,720,,,206
,,,54 56,76,,998,257,20,74,137,182,235,261,315,414,531,,,206
,PHILADELPHIA PA,,54,6,1,465,246,1,,89,89,158,375,375,467,467,,,206
,,,55,94,6,260,57,13,23,30,36,41,49,61,77,i111,,,206
,,,56,11,10,170,52,10,18,24,28,32,58,67,77,89,,,206
,,,54 56,111,1,465,66,13,23,30,36,42,53,66,,,,,206
,,,,,,,,,,,,,,,87,137,,,206
,,,54,4,,242,64,,1,1,7,7,7,9,91243,243,,,206
,,,56,11,5,280,70,,18,28,37,45,48,,103,158,,,206
,,,56,9,4,46,20,4,5,,18,21,21,23,24,37,,,206
,,,,,,,,,,,,,,,114,,,,206
,,,56,,20,160,71,21,28,32,37,67,77,108,,119,,,206
,,,56,11,,84,17,,3,,,,,,,,,,206
,,,,,,,,1,,4,,,12,17,18,,,,206
,,,54 54,io,,465 4651173,173,1,1,7,,89,158,243,375,467,,,206
,,,55,94,6,260,57,13,23,30,36,41,49,61,77,111,,,206
,,,56,53,,280,47,,11,17,23,29,37,,72,114,,,206
,,,54 56,157 57,,465,61,10,17,25,31,39,47,61,85,119,,,206
,ALTOONA PA,,56,,,3,1,,,1,1,1,1,1,2,2,,,206
,BRISTOL PA,,55 56,18,2,55,17,,3,,,,,,,,,,206
,,,,,,,,2,,5,7,,18,24,28,37,,,206
,CHESTER PA,,,,,,,,,,,,,,,,,,206
,,,55 56,186,4,160,25,7,,10,11,12,15,21,28,43,,,206
,ERIE PA,,56,25,,2,,,,,,1,1,1,1,1,,,206
,PA,,56,21,,7,2,1,1,1,1,2,2,2,3,3,,,206
,PA,,55 56,23,,10,4,1,2,3,3,4,4,6,7,9,,,206
,WASHINGTON oc,,54,26,,27,3,,,,,,1,1,,15,,,206
,,,55 56,18,16,200,75,29,32,50,77,82,,,,100,,,206
,,,,,,,,,,,,,87,92,95,,,,206
,,,54 56,44,,200,33,,,1,,10,21,,82,95,,,206
,LOUISVILLE KY,,54,2i,,25,6,1,1,2,3,3,6,6,,18,,,206
,,,55,21,,23,5,2,2,2,3,3,4,6,,12,,,206
,,,54 55,42,,25,5,1,2,2,3,3,4,6,,17,,,206
,,,,13,,3,,,,,1,1,,1,,,,,206
,,,55,10,,4,,,1,1,2,,1,,2,3,,,206
,,,54 55,23,,,,,,,,2,3,3,3,4,,,206
,,,,,,4,1,,,1,1,1,2,2,3,3,,,206
,,,54,5,,2,,,,1,1,1,1,2,2,2,,,206
,,,54,,,,,,,,,,,,,,,,206
,,,54,39,,25,3,,1,1,1,2,2,3,6,7,,,206
,,,55,31,,23,4,1,2,2,2,3,3,4,6,8,,,206
,,,54 55,70,,25,4,,1,1,2,2,3,3,6,8,,,206
,,,57,18,42,430,133,,67,77,89,98,,,,,,,206
,,,,,,,,,,,,,137,166,174,210,,,206
,VA,,54,,,,,,,,,,,,,,,,206
,,,,,,60,11,,,1,1,2,2,7,9,9,,,206
,,,55,16,,20,7,1,2,4,5,6,9,,10,10,,,206
,,,54 55,23,,60,8,,1,2,4,6,8,,10,20,,,206
,TAMPA FLA,,54 55,27,,94,6,1,1,1,1,2,2,3,4,5,,,206
,ATLANTA GA,,54 56 a,19,,380,22,,1,1,1,,,,,,,,206
,,,,,,,,,,,,2,2,2,3,6,,,206
,CHATTANOOGA TENN,,,,,,,,,,,,,,,,,,206
,,,55,14,,40,4,,1,1,1,1,2,2,2,3,,,206
,,,55 56,18,,3,1,,1,1,1,1,1,2,2,2,,,206
,,,55 56,32,,40,2,,1,1,1,1,1,2,2,3,,,206
