Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,NEW JERSEY TOTAL,55,10,6,,,6,6,7,7,14,17,,22,23,,181
,NEW YORK TOTAL,54 55,35,,109,24,,5,11,18,24,25,28,32,54,,181
,,,,,,,,,7,10,,14,15,15,19,,181
,PENNSYLVA NIA TOTAL,54,10,,52,14,1,1,,,13,,,,,,181
,,,,,,,,,1,,,,,,,,181
,DIS COLUM BIA TOTAL,54 55,28,,26,6,,,,1,1,4,7,15,20,,181
,KENTUCKY TOTAL,54,6,,,6,1,1,1,1,3,7,7,13,13,,181
,WE VIRG INA TOTAL,54,7,,65,22,1,1,1,19,21,,26,29,29,,181
,T OTAL,54,38,,35,,1,1,1,4,5,6,23,23,34,,181
,FL,,,,,,,,,,,,,,,,181
,,,,,,,,,,,8,9,17,17,23,,181
,GE T OTAL,54,8,,25,10,,1,1,4,,,,,,,181
,TOTAL,54 55,41,,119,29,1,1,,19,29,34,42,47,54,,181
,CHIGAN TOTAL,53 54,36,,172,43,1,10,16,19,31,43,,67,101,,181
,OH 10 TOTA L,35,,,56,8,,,1,1,4,7,1i,15,19,,181
,NNESOTA TOTAL,54,14,,23,4,,,,1,1,1,3,11,17,,181
,,,11,,8,2,,,1,,1,4,4,6,8,,181
,SSOURI TOTAL,24,,,,,,,,,,,,,,,181
,TOTAL,54,4,,13,4,,1,1,1,1,1,2,2,13,,181
,TE XAS TOT AL,54,26,,99,16,,,1,5,8,16,19,21,36,,181
,UT AH TOTA L,54,5,,26,5,,,1,1,1,1,1,1,26,,181
,AL ASKA TO TAL,54 95,27,,275,17,,1,2,4,5,7,i1,14,,,181
,,,,,,,,,,20,25,32,39,49,67,,181
,CA LIFORNI A TOTAL,54 5,117,,125,31,7,,is,,,,,,,,181
,OR EGON TO TAL,54,54,,178,23,1,7,12,16,19,25,30,32,36,,181
,MID ATL NTC TOTAL,54 55,55,,109,,1,6,10,13,18,22,25,29,Si,,181
,T TOTAL,54 5,41,,65,8,,,1,1,3,7,14,19,23,,181
,,,,,35,11,1,1,4,4,6,9,17,23,26,,181
,SOUTH E AST TOTAL,54,16,,,,,,,,,,,,,,181
,WES T TOTAL,53 55,188,,172,19,,1,1,6,,15,21,33,54,,181
,GRT PLA INS TOTAL,54,25,,23,3,,,1,1,1,1,4,8,11,,181
,GULF UTH TOTAL,54,30,,99,15,,1,1,4,7,11,17,20,36,,181
,,54,8,,26,3,,,,,1,1,1,1,1,,181
,NTN TOTAL,,,,,,,,,,,,,,,,181
,,,,,,,,,,,,,,39,57,,181
,PAC COA ST TOTAL,54,198,,275,27,2,7,11,16,20,26,32,,,,181
,GRAND TOTAL,53 53,561,,275,20,1,1,7,,16,20,27,35,,,181
