Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,36,,3,1,,1,1,1,1,2,2,2,3,,110
,MASSACHUSETS TOTAL,55,49,,4,,,,,,1,1,1,1,1,,110
,,,120,,19,2,,1,1,1,2,2,2,3,3,,110
,TOTAL,56,,,,,,,,,,,,,,,110
,TOTAL,54 56,39,,25,3,1,2,2,2,3,3,4,5,6,,110
,PENNSYLVANIA TOTAL,56,265,,10,1,,1,1,1,2,2,2,2,3,,110
,TOTAL,55 56,17,,,1,,,1,1,1,1,2,2,2,,110
,,54 55,62,,5,,,,,,1,1,1,1,1,,110
,KENTUCKY TOTAL,,,,,,,,,,,,,,,,110
,,57,18,,4,,,,,,1,1,1,1,1,,110
,WEST VIRGINA TOTAL,55,16,,2,,,,,,1,1,1,1,1,,110
,,55,21,,3,1,,,1,1,1,1,2,2,2,,110
,,55 56,16,,2,,,,,1,1,1,1,1,2,,110
,TOTAL,55 56,32,,3,2,1,1,1,1,2,2,2,2,3,,110
,TENNESSEE,,,,,,,,,,,,,,,,110
,,,,,,,,,,,,2,2,3,5,,110
,,56,106,,17,2,,,1,1,1,,,,,,110
,,56,86,,20,2,,,1,1,2,2,3,4,5,,110
,,57,35,,9,1,,,1,1,1,1,2,2,3,,110
,,57,19,,,,,,,,1,1,1,1,1,,110
,,,,,,,,,,,,,,2,,,110
,MISSOURI TOTAL,55 56,50,,3,,,,1,1,1,1,1,,2,,110
,LOUISIANA TOTAL,54 55,46,,1,,,,,,1,1,1,1,1,,110
,,54 55,119,,40,,,,,,1,1,1,1,1,,110
,,54 55,23,,3,,,,,,1,1,1,1,1,,110
,,54 55,26,,4,,,,,,1,1,1,1,1,,110
,UTAH TOTAL,,,,,,,,,,,,,,,,110
,ALASKA TOTAL,54 55,13,,3,,,,,,1,1,1,1,3,,110
,CALtFORNIA TOTAL,55 56,107,,3,,,,,1,1,1,1,1,2,,110
,OREGON TOTAL,54 55,20,,2,,,,,,1,1,1,1,1,,110
,,57,20,,11,,,,,1,1,1,1,1,2,,110
,,,,,,,,,,1,1,1,1,2,2,,110
,,55 56,85,,4,,,,,,,,,,,,110
,MIO AL,54 56,424,,25,2,,1,1,1,2,,,3,3,,110
,,54 57,113,,5,,,,,,1,1,1,1,1,,110
,SOUTH EAST TOT AL,55 56,69,,3,1,,1,1,1,1,1,2,2,2,,110
,TOTAL,55 57,246,,20,1,,,1,1,1,2,2,3,5,,110
,TOT AL,56,71,,3,,,,,1,1,1,1,1,2,,110
,GULF SOUTH TOT AL,54 55,165,,40,,,,,,1,1,1,1,1,,110
,AL,54 55,49,,4,,,,,,1,1,1,1,1,,110
,,54 57,160,,11,,,,,1,1,1,1,1,2,,110
,,54 57,1382,,40,1,,,1,1,1,1,2,2,3,,110
