Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,NEW JERSEY TOTAL,55,10,1i,30,18,11,14,15,16,17,186 18,19,21,27,,177
,TOTAL,55,36,,59,21,4,9,11,14,22,28,30,34,39,,177
,PENNSYLVANIA TOTAL,54,10,,28,12,1,3,7,8,12,12,13,13,27,,177
,TOTAL,54 55,25,,34,15,1,5,9,14,i7,18,20,21,27,,177
,KENTUCKY TOTAL,54,9,3,44,25,3,11,15,17,21,21,36,38,46,,177
,WEST VIRGINA TOTAL,54,7,,42,13,1,1,5,5,6,6,9,27,27,,177
,FLORIDA TOTAL,,10,1,18,7,1,2,2,3,5,5,11,15,17,,177
,GEORGIA TOTAL,54,9,,26,10,1,4,4,8,8,8,9,15,26,,177
,,54 55,43,,86,,,15,23,,,,,,,,177
,,,,,,31,2,,,28,32,37,41,45,58,,177
,MICHIGAN TOTAL,53 54,33,,71,24,4,8,13,14,22,24,35,41,,,177
,OHIO TOTAL,54,135,3,69,19,6,9,12,14,16,18,22,26,36,,177
,MISSOURI TOTAL,54,6,2,8,4,2,2,3,3,4,4,,6,6,,177
,,,,,,,,,,,,,4,,,,177
,LOUISIANA TOTAL,54,4,6,,14,,6,6,9,9,9,19,19,24,,177
,,54,29,,59,13,,1,1,6,9,10,13,24,32,,177
,,54,3,4,11,6,,4,4,4,4,4,4,4,11,,177
,UTAH TOTAL,54,5,14,42,22,14,14,15,15,17,17,24,24,43,,177
,ALASKA TOTAL,54 55,24,,400,28,,1,4,7,9,11,15,19,34,,177
,CALIFORNIA TOTAL,54 55,115,,32,15,2,7,9,12,14,17,19,23,30,,177
,OREGON TOTAL,54,94,,36,15,1,9,11,13,15,17,,25,29,,177
,MIO TOTAL,54 55,56,,59,19,4,9,11,13,17,22,27,30,36,,177
,TOTAL,54 55,41,,44,17,1,5,6,14,16,19,20,26,36,,177
,TOT AL,54,19,,26,9,1,2,4,5,8,8,11,15,19,,177
,MID WEST TOTAL,53 55,,,86,22,5,9,12,15,18,22,27,35,46,,177
,GRT PLAINS TOT AL,54,20,2,20,9,3,4,4,6,,9,12,15,17,,177
,GULF SOUTH TOT AL,54,33,,,,,,,,,,,,,,177
,,,,,59,13,,1,5,6,9,10,15,23,32,,177
,TOT AL,54,8,4,42,16,4,4,4,11,14,15,i7,17,24,,177
,PAC COAST TOTA,54,191,,400,17,1,6,9,,14,17,19,24,30,,177
,GRAND TOTAL,53 55,579,,400,,3,6,9,12,15,18,22,28,37,,177
