Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,,,,,,,,,,,,,227,,,211
,,2,2,4,5,3,3,3,4,1,4,3,2,,,211
AVERAGE,,55,100,112,82,66,46,56,32,70,122,166,150,,,211
,,50,100,70,70,60,30,50,30,70,90,100,100,,,211
AVERAGE,,190,85,140,50,50,40,65,45,200,95,153,100,,,211
,,190,70,60,50,50,20,30,,200,90,,100,,,211
,55,,,,,,,,,,,,,,,211
,,3,3,3,1,2,3,3,2,2,1,1,2,,,211
,,100,300,200,,300,70,100,100,30,20,70,300,,,211
AVERAGE,,70,113,120,,195,46,55,52,20,20,70,200,,,211
,,40,10,60,7,90,30,5,4,10,20,70,100,,,211
,55 56,,,,,,,,,,,,,,,211
AVERAGE,,43,42,76,72,17,,5,24,48,,76,1907,,,211
,,30,,,17,17,,,10,48,,76,54,,,211
J,56,,,,,,,,,,,,,,,211
,,2,4,3,5,2,1,4,1,,2,,1,,,211
,,42,,234,78,10,29,21,3,,32,,5,,,211
AVERAGE,,37,88,108,36,7,29,9,3,,24,,5,,,211
,,33,13,45,3,4,29,4,3,,17,,5,,,211
,55 56,,,,,,,,,,,,,,,211
AVERAGE,,48,120,53,13,,10,20,18,22,16,,40,,,211
,,47,74,36,9,,10,20,14,17,13,,31,,,211
,,46,35,13,6,,10,20,i1,12,i1,,22,,,211
,55 56,,,,,,,,,,,,,,,211
AVERAGE,,9,8,46,41,,,3,10,,40,25,38,,,211
,,7,8,,4,,,3,8,,12,14,23,,,211
,56,,,,,,,,,,,,,,,211
,,56,140,50,5,3,12,6,7,,56,25,98,,,211
2 AVERAGE,,36,76,50,5,3,12,5,7,,56,25,45,,,211
,,16,12,50,5,3,12,5,7,,56,25,12,,,211
2,55 56,,,,,,,,,,,,,,,211
,,130,230,600,120,,84,23,110,89,,130,,,,211
AVERAGE,,,,,,,,,,,,,160,,,211
,,106,150,,75,,74,22,76,B89,,130,119,,,211
,,82,110,28,36,,65,22,42,a9,,130,79,,,211
2,54 56,,,,,,,,,,,,,,,211
,,4,6,5,8,5,10,7,5,6,6,7,7,,,211
,,572,640,590,410,387,300,300,100,290,266,720,998,,,211
AVERAGE,,355,315,363,313,223,148,151,46,116,192,432,,,,211
co,,,,,,,,,,,,,,,,211
,54 56,,,,,,,,,,,,,,,211
,,20,16,14,,19,12,13,13,10,8,8,9,,,211
AVERAGE,,99,117,55,74,52,34,24,31,32,30,,76,,,211
oe,,,,,,,,,,,,,,,,211
,55 56,,,,,,,,,,,,,,,211
,,,1,,,,,,,,,,,,,211
,,,,1,1,2,,2,1,4,2,2,2,,,211
AVERAGE,,,42,28,8,7,,33,3,,21,22,55,,,211
,,,42,28,8,4,,17,3,9,11,16,45,,,211
,,,42,28,8,2,,2,3,5,2,10,35,,,211
,55 56,,,,,,,,,,,,,,,211
,,,1,,2,2,2,2,3,4,1,,1,,,211
AVERAGE,,,53,,85,7,9,13,25,17,i2,,19,,,211
,,,53,,11,4,8,7,10,7,12,,19,,,211
Pi,56,,,,,,,,,,,,,,,211
,,3,3,3,,,3,2,,2,2,2,1,,,211
AVERAGE,,,1,3,,,2,2,,2,2,4,2,,,211
,,,,2,,,2,2,,2,2,2,2,,,211
wi,56,,,,,,,,,,,,,,,211
,,,3,1,2,3,2,1,1,3,2,3,2,,,211
,,,8,,8,9,,,,,,,,,,211
AVERAGE,,,,7,,,2,2,3,4,4,10,9,,,211
,,,4,7,5,4,,2,,4,,7,,,,211
,,,,7,3,2,,2,3,4,2,4,7,,,211
co,,,,,,,,,,,,,,,,211
WA,54 56,,,,,,,,,,,,,,,211
,,1,4,1,5,6,6,4,7,6,3,1,,,,211
AVERAGE,,200,50,20,19,44,18,22,,21,33,100,,,,211
wn,,,,,,,,,,,,,,,,211
G ogle,,,,,,,,,,,,,,,,211
oa O,,,,,,,,,,,,,,,,211
