Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,30,,,,,,,,,,,,,,,,14
,,,,3,4,137 4,8,2,2,4,4,4,1,2,4,,,14
,,AVERAGE,,71,65,98,99,,101,102,91,139,86,185,117,,,14
,,MUM,,52,37,71,,88,,71,78,105,86,116,55,,,14
,,PA,55 56,,,,,,,,,,,,,,,14
,,AVER AGE,,139,134,157,107,106,81,87,98,104,77,123,105,,,14
,,CA MOEN,57,,,,,,,,,,,,,,,14
,,,,272,,352,288,318,265,224,216,235,165,376,345,,,14
,,AVER AGE,,219,176,233,,244,174,157,148,128,135,190,233,,,14
,,PE RTH AMBOY,55 56,,,,,,,,,,,,,,,14
,,AVER AGE,,88,115,111,113,119,94,,69,61,85,110,125,,,14
,,MUM,,33,71,47,64,77,,79,62,49,69,,83,,,14
,,,,,,,,,,,,,,66,,,,14
,,,55 56,,,,,,,,,,,,,,,14
,,AVERAGE,,B89,306,i118,134,94,70,97,846,,376,156,165,,,14
,,JERSEY CITY N,54 57,,,,,,,,,,,,,,,14
,,AVER AGE,,195,169,178,182,186,160,167,147,,119,224,205,,,14
,,EAST 0 RANGE,,,,,,,,,,,,,,,,14
,,AVER AGE,,51,172,28,166,131,153,97,138,259,,35,142,,,14
,,NEWARK N J,57,,,,,,,,,,,,,,,14
,,ER OF,,,,,,,,,,,,,,,,14
,,NUMB AMPLES,,2,2,2,3,1,2,1,1,2,2,,,,,14
,,AVER AGE,,163,del,,212,93,3,95,3,66,74,,,,,14
,,MUM,,157,116,110,108,93,9,95,3,,65,,,,,14
,,N Y,,,,,,,,,,,,,,,,14
,,AVER AGE,,197,,172,197,225,190,187,171,215,243,208,203,,,14
,,,,,,,,,44,,,,,,,,,14
,,Bl NGHA Y,57,,,,,,,,,,,,,,,14
,,AVER AGE,,91,118,147,140,90,72,62,106,60,71,81,107,,,14
co,,,,,,,,,,,,,,,,,,14
,,BUFFAL N Y,57,,,,,,,,,,,,,,,14
,,AVERAGE,,85,109,306,230,343,318,293,140,148,258,130,117 117,,,14
,,,,,,,,,,,,141,258,,117,,,14
,,sc CTADY N Y,57,,,,,,,,,,,,,,,14
,,AVER AGE,,638,79,76,66,108,,64,76,49,116,77,49,,,14
,,SY,,,,,,,,,,,,,,,,14
,,,,70,198,253,107,153,,197,109,133,136,,146,,,14
,,AVERAGE,,,,179,,,128,,,,,347,,,,14
,,,,,108,,107,118,,119,101,110,88,181,107,,,14
,,,,40,44,105,107,65,128,64,93,87,40,86,69,,,14
,,UT,57,,,,,,,,,,,,,,,14
,,AVERAGE,,93,163,160,146,63,129,91,174,114,116,106,,,,14
,,PH PA,53 57,,,,,,,,,,,,,,,14
oe,,AVERAGE,,262,236,230,262,250,193,184,188,191,203,237,285,,,14
,,,,50,66,66,56,37,44,51,51,59,29,71,63,,,14
,,AL TOONA PA,55,,,,,,,,,,,,,,,14
,,AVERAGE,,,134,120,87,142,92 92,,97,88,196,139,100,,,14
,,,,,,,,,,,,,,87,,,,14
on,,,,,,,,,,,,,,,,,,14
33,,,,,,,,,,,,,,,,,,14
,,Go ogle,,,,,,,,,,,,,,,,14
