Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Page
,,,,,,,,,239,,223
,,,,,,,,,239,,223
,,,BELOW,,,,,BELOW,,,223
,,,QUANTITY,,,,,QUANTITY,,,223
ELIZABETH,55,1,1,,,J,,1 4,,,223
PAULSBORO,55,2,2,,,PAULSBORO N J,,2 2,,,223
,,,,,,CAMDEN,55,2 1,2,,223
CAMDEN N J,55,2,2,,,N J,,,,,223
PERTH AMBOY,55,2,2,,,PERTH AMBOY,55,2 1,3,,223
J,55,1,1,,,TRENTON N J,55,1,1,,223
JERSEY,55,2,2,,,JERSEY,55,2 1,2,,223
NEW YORK N Y,54 55,37,36,8,,NEW YORK N Y,54,37 4,25,,223
,,,,,,,54,10 4,141,,223
PHILADELPHIA PA,54,10,10,,,PHILADELPHIA PA,,,,,223
WASHINGTON,54 55,29,29,,,WASHINGTON,54 55,29 13,4,,223
KY,54,9,9,,,LOUISVILLE KY,54,9 4,9,,223
CHARLESTON VA,54,,11,,,CHARLESTON VA,54,11 3,34,,223
TAMPA FLA,54,10,10,,,TAMPA FLA,54,10 9,1,,223
ATLANTA GA,54,10,10,,,ATLANTA,54,10 6,2,,223
,,,,,,GA,,,,,223
CHICAGO,54 55,43,42,400,,CHICAGO,,42 14,32,,223
DETROIT MICH,54,33,33,,,DETROIT MICH,53 54,33,10,,223
OHIO,54 55,147 47,144,11,,OHIO,54 55,145 45 53,30,,223
,,,,,,,,13,,,223
,54,13,13,,,,54,8,14,,223
,,4,4,,,NEW,54,4 4,,,223
FT WORTH TEXAS,54,9,9,,,FT WORTH TEXAS,54,9 7,8,,223
LAKEWORTH TEXAS,54,6,6,,,LAKEWORTH TEXAS,54,6 6,,,223
HOUSTON TEXAS,54,18,18,,,HOUSTON TEXAS,54,17 8,3,,223
BELLAIRE TEXAS,54,4,4,,,BELLAIRE TEXAS,54,4 2,2,,223
DENVER COLO,54,3,3,,,DENVER,54,3 1,2,,223
SALT LAKE ciTy UTAH,54,5,5,,,SALT LAKE UTAH,54,5 3,3,,223
ANCHORAGE ALASKA,54 55,29,29,,,ANCHORAGE ALASKA,54 55,29,2,,223
ANGELES,54,,19,,,LOS ANGELES CALIF,54,19 5,65,,223
Los CALIF,,19,,,,,,,,,223
PASADENA CALIF,54 55,28,27,8,,PASADENA CALIF,54 55,27 15,5,,223
co BERKELEY CALIF,54 55,35,35,,,BERKELEY CALIF,54 55,35 21,7,,223
am,,,,,,,,,,,223
SAN JOSE CALIF,54 55,34,34,,,SAN JOSE CALIF,54 55,34 19,22,,223
PORTLAND OREGON,54,54,53,743,,PORTLANO OREGON,54,54 25,6,,223
oe GRAND TOTAL,54,625,618,743,,,54 55,520 275,65,,223
un,,,,,,GRAND TOTAL,,,,,223
Nw,,,,,,,,,,,223
Va,,,,,,,,,,,223
ca,ogle,,,,,,,,,,223
oa O,,,,,,,,,,,223
