Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,,,,,,,2,,2,1,2,3,,,,167
,,1,,5,,,,,,,,,,,,167
AVERAGE,,,,3,,,1,,1,,2,1,4,,,167
,,,,2,,,,,,,2,,,,,167
LA N J,56,,,,,,,,,,,,,,,167
AVERAGE,,,,3,3,,,,,,,1,,,,167
KA AWHA VA,54,,,,,,,,,,,,,,,167
,,9,40,50,,34,17,7,10,,30,,2,,,167
AVERAGE,,9,26,40,,,8,4,10,,15,,2,,,167
Fu GEORGIA,54,,,,,,,,,,,,,,,167
,,,36,33,1,1,,,,,,,,,,167
,,,22,33,1,1,,,,,,,,,,167
AVERAGE,,,,,,,,,,,,,,,,167
HA MILTON COUNTY OHIO,54 55,,,,,,,,,,,,,,,167
AVERAGE,,,11,8,20,4,7,8,6,9,6,7,2,,,167
,,,il,2,2,,4,3,4,6,3,6,1,,,167
OE COLO,54,,,,,,,,,,,,,,,167
,,,1,,,,,4,,4,6,4,2,,,167
,,,,,4,,,,,3,5,4,2,,,167
AVERAGE,,,1,,4,,,4,,,,,,,,167
