Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,55,23,,9,2,,,1,1,1,2,2,3,5,,150
,,,,,,,,,,,1,,1,1,2,2,,150
,LAKEHURST,,55 56,19,,3,1,,,,,1,,,,,,150
,KANAWHA VA,,54 55,23,,45,3,,,1,1,1,1,2,3,7,,150
,HILLSBOROUGH,1154,54,4,3,5,4,,3,3,4,4,4,4,4,,,150
,,1154,54,8,1,21,8,1,3,3,4,7,8,10,10,10,,150
,,,54 55,36,,18,5,,1,1,2,4,,5,10,12,,150
,HAMILTON,,,,,,,,,,,,,,,,,150
,TONKA,,54,9,,9,3,1,1,2,3,4,4,4,5,,,150
,DENVER,,54 55,10,,7,1,,,1,1,1,1,2,2,4,,150
,,,54,5,,3,1,,,1,1,1,1,1,,3,,150
,,,54,12,1,9,4,1,2,3,3,3,4,4,7,9,,150
,,,,,,,3,,1,,1,2,3,,,9,,150
,,,54 56,149,,45,,,,1,,,,4,5,,,150
,ALASKA,,55 56,12,,11,3,,1,1,1,1,2,2,3,10,,150
