Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,PA,,,,,,,,,,,,,,,,152
,,,,,io,11,16,4,14,14,16,10,14,6,,,152
,AVERAGE,,,,10,,,1,,,,7,,5,,,152
,,,,4,,6,6,,14,14,14,,,4,,,152
,SH INGTON,54 56,,,,,,,,,,,,,,,152
,M,,14,21,12,12,34,39,25,33,27,25,6,,,,152
,A ERAGE,,14,14,12,9,14,2i,18,16,19,23,6,,,,152
,M NIMUM,,14,6,12,7,5,8,10,5,14,,6,,,,152
,SVILLE KY,54,,,,,,,,,,,,,,,152
,,,,,,,,,,,,,,6,,,152
,,,3,23,25,9,20,24,47,54,46,130,96,55,,,152
,ERAGE,,2,15,25,5,10,10,12,13,24,50,96,24,,,152
,,,2,4,25,1,3,1,2,2,7,15,96,5,,,152
,IMORE MO,37,,,,,,,,,,,,,,,152
,,,10,,10,32,3,7,9,10,7,,,,,,152
,ERAGE,,10,5,9,19,3,6,8,7,7,,,,,,152
,,,,5,3,8,3,5,8,4,7,,,,,,152
,LESTON VA,54 55,,,,,,,,,,,,,,,152
,,,,2,,25,11,5,2,3,4,5,2,5,,,152
,ERAGE,,,2,3,13,6,3,1,3,4,4,1,5,,,152
,,,,2,4,3,1,2,1,3,4,4,1,,,,152
,FLA,54 35,,,,,,,,,,,,,,,152
,A,,,,,,,,,,,,,,,,152
,,,7,14,9,11,7,33,6,21,43,10,1i,,,,152
,ERAGE,,5,10,4,5,4,,5,14,16,10,8,7,,,152
,NIMUM,,3,6,2,2,3,12,4,7,1,10,,7,,,152
,NTA GA,,,,,,,,,,,,,,,,152
,ERAGE,,,20,23,24,35,8,,11,,98,16,10,,,152
,,,22,,15,14,14,8,8,11,,98,16,10,,,152
,,,,13 13,9,3,1,8,3,11,,98,16,10,,,152
,TANOOGA TENN,55 56,,,,,,,,,,,,,,,152
,X1MUM,,2,18,,3,14,,9,12,14,27,9,23,,,152
,ERAGE,,2,6,8,2,11,,9,8,7,12,5,13,,,152
,,,2,,3,1,8,,9,2,2,6,2,3,,,152
,,35,,,,,,,,,,,,,,,152
,MBER AGO,54,,7,,3,,20,,,,,,,,,152
,,,20,40,14,25,122,57,44,24,27,91,53,Se,,,152
,VERAGE,,9,22,6,15,26,15,13,13,20,29,19,19,,,152
,,,3,9,2,6,2,5,,4,2,5,4,1,,,152
,T LOU 1S,,,,,,,,,,,,,,,,152
,AXIMUM,,12,8,17,8,41,16,30,16,18,2,6,9,,,152
,VERAGE,,6,5,9,7,22,10,30,,,,,,,,152
,,,,2,,,,,,,11,2,5,6,,,152
,,,2,,2,6,3,6,30,8,3,2,5,,,,152
,T CHICAGO IND,,,,,,,,,,,,,,,,152
,,,10,8,25,64,30,56,14,21,22,31,7,16,,,152
,VERAGE,,4,5,14,33,17,25,7,9,,16,4,7,,,152
,,,1,2,2,8,7,2,1,,2,8,3,2,,,152
,ROrT MICH,53 54,,,,,,,,,,,,,,,152
,,,,,37,,,50,,,,,40,,,,152
,,,,22,,58,22,,,,,,,,,,152
,VERAGE,,,22,27,29,21,50,,,,,22,,,,152
,,,,22,18,16,21,50,,,,,2,,,,152
,N CINNATI,54 55,,,,,,,,,,,,,,,152
,,,54,17,45,76,33,94,38,,146,105,50,63,,,152
,VERAGE,,21,10,12,i9,14,25,14,21,51,39,29,30,,,152
,,,4,6,2,2,7,4,7,4,1,8,14,10,,,152
,,57,,,,,,,,,,,,,,,152
,,,,,1,2,1,1,2,2,1,2,,,,,152
,AXIMUM,,,,4,3,5,3,3,4,2,17,,,,,152
,VERAGE,,,,4,2,5,3,2,3,2,14,,,,,152
,,,,,4,2,5,3,1,2,2,12,,,,,152
,WAUKEE wis,57,,,,,,,,,,,,,,,152
,,,8,19,6,10,4,4,61,,15,3,,,,,152
,VERAGE,,5,12,4,7,3,4,32,4,14,3,,,,,152
,,,,,,,,,,4,,,,,,,152
,AVERAGE,,8,6,7,5,10,4,,14,6,16,6,8,,,152
,NSAS CITY MO,54 56,,,,,,,,,,,,,,,152
,AVERAGE,,10,8,8,6,7,ii,,,3,,12,,,,152
,,,,,,,,,4,9,,8,,is,,,152
,,,2,4,4,,1,5,2,2,3,8,12,15,,,152
