Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,,2,2,,2,3,2,2,3,,1,3,2,,,221
AVERAGE,,70,255,,180,126,105,100,260,60,100,110,100,,,221
,,40,90,,a0,50,70,10,260,60,100,50,90,,,221
,54,,,,,,,,,,,,,,,221
,,2,3,3,4,4,4,6,4,4,4,5,3,,,221
AVERAGE,,9,22,4,11,11,,88,4,25,15,5,a9,,,221
,,8,7,,,,,,,,,,7,,,221
,54 55,,,,,,,,,,,,,,,221
,,2,2,2,2,2,2,2,,2,2,2,2,,,221
AVERAGE,,15,10,3,2,1,25,,,,,,20,,,221
,,10,10,,,,10,,,,,7,,,,221
,54 55,,,,,,,,,,,,,,,221
,,,5,,,,,,,6,,,,,,221
,,,,,,,,,,,94,,,,,221
AVERAGE,,,82,28,3,65,41,50,30,131,28,33,43,,,221
,54,,,,,,,,,,,,,,,221
,,3,2,3,2,2,2,2,3,3,4,2,3,,,221
AVERAGE,,42,14,20,5,20,27,5,,10,67,14,39,,,221
,,12,7,7,3,,5,,,10,,,11,,,221
,54,,,,,,,,,,,,,,,221
,,2,2,2,2,2,2,2,2,2,2,1,2,,,221
AVERAGE,,40,50,100,90,85,65,60,30,20,53,110,265,,,221
,,30,50,70,60,60,30,60,30,10,6,110,240,,,221
,54,,,,,,,,,,,,,,,221
,,3,2,2,2,2,6,2,2,2,2,2,3,,,221
AVERAGE,,73,205,,,,,,,,,,,,,221
,,,,,34,20,29,,9,125,65,110,853,,,221
,,30,130,40,9,20,9,40,8,120,60,,60,,,221
,54,,,,,,,,,,,,,,,221
,,,1,2,8,2,4,,1,,1,1,1,,,221
AVERAGE,,,10,10,168,43,10,,,,10,,10,,,221
,,,10,10,7,36,,,,,10,,10,,,221
,55 56,,,,,,,,,,,,,,,221
,,3,2,2,1,3,2,5,2,3,3,,,,,221
,,,,,,,,,,,,5,1,,,221
AVERAGE,,5,30,,3,17,12,4,,3,10,4,20,,,221
,,,,,3,5,4,,,,,,20,,,221
,55 56,,,,,,,,,,,,,,,221
,,2,2,1,3,3,2,3,,2,2,,,,,221
AVERAGE,,40,25,40,40,23,,53,,45,15,,,,,221
,,30,,40,27,10,7,30,,40,10,,,,,221
SAN CALI,54 56,,,,,,,,,,,,,,,221
,,1,2,2,1,3,3,3,3,2,1,2,3,,,221
AVERAGE,,20,19,5,47,43,25,33,41,160,,30,257,,,221
,,20,8,,47,10,,19,35,120,,10,3,,,221
SAN CALIF,55 56,,,,,,,,,,,,,,,221
,,3,1,2,1,1,2,4,4,1,3,7,1,,,221
,,310,110,80,60,,540,150,120,80,490,950,40,,,221
AVERAGE,,153,110,70,60,50,345,75,732 72,806,223,,,,,221
,,,,,,,,,,,,274,40,,,221
,,60,110,60,60,50,150,10,40,80,40,50,40,,,221
,54 55,,,,,,,,,,,,,,,221
,,1,,3,1,,,2,7,5,1,,,,,221
,,760,,360,20,,,150,630,280,890,,,,,221
AVERAGE,,760,,136,20,,,115,335,146,890,,,,,221
,,760,,10,20,,,80,40,60,890,,,,,221
,57,,,,,,,,,,,,,,,221
,,2,2,1,2,3,2,,,,,,,,,221
,,100,85,,68,110,,60 2,2,3,,,,,,221
,,,,,,,67,,84,170,110,,,,,221
AVERAGE,,92,74,85,61,81,64,53,70,101,110,,,,,221
,,85,63,85,,65,61,46,56,58,110,,,,,221
