Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
MIODLESEX,,,,,,,,,,,,,,,,21
AVERAGE,,61,52,S1,34,50,,22,49,68,78,43,34,,,21
LA KEHURST,55 56,,,,,,,,,,,,,,,21
,,10,10,4,8,5,3,4,2,4,,3,3,,,21
,,48,70,64,63,51,49,68,51,,30,65,76,,,21
AVERAGE,,72 72,224,96,147,64,68,101,52,76,30,97,120,,,21
,,27,19,51,31,26,24,38,50,30,30,49,43,,,21
KA NAWHA co VA,54,,,,,,,,,,,,,,,21
,,263,309,109,232,294,159,248,243,219,152,249,421,,,21
AVERAGE,,101,176,82,123,143,87,127,156,118,81,82,178,,,21
,,,58,67,46,54,33,46,66,56,45,41,49,,,21
LLSBOROUGH FLA,53 56,,,,,,,,,,,,,,,21
AVERAGE,,34,57,54,45,35,22,24,35,27,36,49,53,,,21
FU,53,,,,,,,,,,,,,,,21
,,,8,,,6,5,,7,3,4,2,4,,,21
AVERAGE,,53,66,74,65,63,53,43,62,75,52,69,58,,,21
,,41,35,28,28,33,31,9,27,66,31,59,45,,,21
HA COUNTY OHIO,53,,,,,,,,,,,,,,,21
AVERAGE,,59,63,87,71,57,61,37,33,48,25,96,106,,,21
TO NKA,53 54,,,,,,,,,,,,,,,21
,,58,77,81,267,78,109,113,,48,54,,44,,,21
AVERAGE,,51,50,74,118,59,43,65,,24,29,65,35,,,21
AVERAGE,,88,69,97,128,191,237,,,,,99,68,,,21
DE COLO,54 56,,,,,,,,,,,,,,,21
AVERAGE,,79,56,76,103,72,91,144,72,63,68,77,54,,,21
SA LT LAKE,53 55,,,,,,,,,,,,,,,21
AVERAGE,,79,98,73,47,84,67,60,52,83,33,71,77,,,21
,,50,68,40,36,37,22,29,43,36,30,39,27,,,21
MU,54 55,,,,,,,,,,,,,,,21
AVERAGE,,,,,,,,,,115,122,,,,,21
,,,40,84,40,59,,47,90,78,103,116,,,,21
,,,40,84,40,28,,29,71,,83,99,,,,21
