Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,,,,,,,,,,,103,,,87
,,,56,,,,,,,,,,,,,,,87
,,AVERAGE,,6,6,5,4,5,7,8,,9,8,8,6,,,87
,,Pt,56,,,,,,,,,,,,,,,87
,,,,3,3,3,,,3,2,,2,2,2,1,,,87
,,,,10,9,11,,,14,7,,29,6,6,5,,,87
,,,,,,,,,,,,16,5,5,5,,,87
,,AVERAGE,,7,5,6,,,9,6,,,,,,,,87
,,wi,55,,,,,,,,,,,,,,,87
,,,,,3,1,2,3,2,1,1,3,2,3,2,,,87
,,AVERAGE,,,13,9,11,13,12,8,8,17,11,4,7,,,87
,,WA,54 56,,,,,,,,,,,,,,,87
,,,,18,93,,9,14,,32,47,77,62,7,,,,87
,,AVERAGE,,18,41,,9,9,16,23,18,33,38,7,,,,87
,,,,18,9,,,6,4,7,1,9,9,7,,,,87
,,LOUISVILLE,54 57,,,,,,,,,,,,,,,87
,,,,2,3,2,2,1,3,13,13,12,6,1,6,,,87
,,AVERAGE,,17,33,20,18,14,16,14,16,18,15,15,19,,,87
,,,57,,,,,,,,,,,,,,,87
,,,,2,2,2,3,1,3,2,3,1,,,,,,87
,,AVERAGE,,23,14,28,30,14,24,20,30,26,,,,,,87
,,,57 7,,,,,,,,,,,,,,,87
,,AVERAGE,,20,8,11,il,9,13,15,16,14,25,12,23,,,87
,,,57,,,,,,,,,,,,,,,87
,,AVERAGE,,10,14,46,26,34,,15,35,27,16,,19,,,87
,,,55 57,,,,,,,,,,,,,,,87
,,AVERAGE,,,7,20,,8,2,2,8,5,8,8,50,,,87
,,TAMPA FLA,55 57,,,,,,,,,,,,,,,87
,,AVERAGE,,15,19,10,9,12,11,8,7,11,16,18,35,,,87
,,MUM,,9,15,3,5,9,11,8,6,3,16,12,35,,,87
an co,,,,,,,,,,,,,,,,,,87
,,,55 56,,,,,,,,,,,,,,,87
,,AVERAGE,,20,5,8,12,2,7,6,8,,26,60,17,,,87
,,,,,,2,9,2,7,5,8,,26,,17,,,87
oe,,,,,,,,,,,,,,,,,,87
,,CHATTANOOGA TENN,55,,,,,,,,,,,,,,,87
,,AVERAGE,,21,13,18,10,30,,35,9,16,18,10,24,,,87
,,MUM,,12,8,13,5,20,,35,5,12,9,10,15,,,87
,,NASHY,57,,,,,,,,,,,,,,,87
,,,,4,2,2,2,3,2,,,,,,,,,87
,,,,,,,,,,2,2,3,1,,,,,87
,,AVERAGE,,32,31,21,20,19,22,22,36,63,10,,,,,87
,,CHICAGO,54 57,,,,,,,,,,,,,,,87
,,,,4,165 7,7,3,8,12,14,9,8,16,13,7,,,87
,,AVERAGE,,24,64,14,9,13,23,37,28,45,43,39,44,,,87
,,EasT LOUIS,55 56,,,,,,,,,,,,,,,87
oe,,AVERAGE,,13,8,8,16,14,20,36,17,11,,11,26,,,87
,,EAST CHICAGO,55 56,,,,,,,,,,,,,,,87
,,,,6,5,14,7,4,6,10,,7,6,8,8,,,87
,,AVERAGE,,16,13,17,23,28,29,28,36,13,20,16,27,,,87
va,,,,,,,,,,,,,,,,,,87
oa,,,,,,,,,,,,,,,,,,87
