Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,AVERAGE,,2,4,8,1,,7,5,2,4,3,4,4,,212
,BA,57,,,,,,,,,,,,,,212
,,,1,2,2,3,1,3,2,3,1,,,,,212
,AVERAGE,,100,i70,310,164,68,76,96,91,94,,,,,212
,CH,54 55,,,,,,,,,,,,,,212
,AVERAGE,,,10,3,19,3,7,5,,10,4,5,20,,212
,TA MPA FLA,54 55,,,,,,,,,,,,,,212
,,,,,,,20,,,,,,2,3,,212
,AVERAGE,,2,10,,1,,1,2,4,4,4,,,,212
,,,2,10,,,,,2,2,,4,2,3,,212
,,54 56,,,,,,,,,,,,,,212
,,,1,2,3,3,2,1,3,1,,1,1,1,,212
,AVERAGE,,6,191,1,1,,2,,1,,4,3,20,,212
,,56,,,,,,,,,,,,,,212
,AVERAGE,,,1,1,,2,,2,4,2,9,,3,,212
,CHICAGO,54 ss,,,,,,,,,,,,,,212
,AVERAGE,,4,18,21,43,7,4,1,2,9,,11,16,,212
,ILL,56,,,,,,,,,,,,,,212
,AVERAGE,,4,,4,4,1,2,4,2,1,,4,3,,212
,EA CHICAGO,56,,,,,,,,,,,,,,212
,,,6,5,14,7,,6,10,,7,6,8,,,212
,,,,,,,4,,,5,,,50,8,,212
,AVERAGE,,35,9,40,44,16,12,2,4,8,9,11,12,,212
,ci NCINNATI OHIO,54 55,,,,,,,,,,,,,,212
,,,3,6,13,15,,19,8,9,12,8,3,6,,212
,AVERAGE,,52,2,3,1,,,,,,2,4,2,,212
,,57,,,,,,,,,,,,,,212
,,,,,1,2,1,1,2,2,1,2,,,,212
,AVERAGE,,,,5,6,7,,8,10,4,13,,,,212
,,57,,,,,,,,,,,,,,212
,AVERAGE,,43,34,16,25,9,5,10,6,26,,,,,212
,,,,,,,8,5,8,6,,9,,,,212
,ul WNEAPOLIS,54 55,,,,,,,,,,,,,,212
,AVERAGE o,,30,15,6,3,,,,1,2,3,8,30,,212
,,,30,10,2,,,,,,2,,7,30,,212
,MO,54 56,,,,,,,,,,,,,,212
,AVERAGE,,,,,,,,,,,,,,,212
,,,4,6,,,,,,2,2,2,10,10,,212
,,55 56,,,,,,,,,,,,,,212
,AVERAGE,,7,7,,11,2,2,1,2,3,3,3,7,,212
,WIN,,4,6,,3,2,2,,2,3,3,2,6,,212
,L,54,,,,,,,,,,,,,,212
,AVERAGE,,1,,,,3,4,8,5,4,8,2,4,,212
,,,1,3,2,,1,,2,2,1,2,,2,,212
