Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
ARK,57,,,,,,,,,,,,,,,47
,,,,,,,2,2,3,2,136 2,2,2,,,47
AVERAGE,,68,32,86,44,28,50,40,52,112,108,26,64,,,47
,,39,24,32,39,28,50,29,29,50,60,27,41,,,47
LA,55 57,,,,,,,,,,,,,,,47
,,296,416 416,,207,138,73,,100,228,295,194,109,,,47
AVERAGE,,102,150,,75,,52,68,64,108,146,73,76,,,47
,,40,37,24,24,16,40,21,27,21,84,38,26,,,47
,57,,,,,,,,,,,,,,,47
LA,,,,,,,,,3,,3,2,2,,,47
AVERAGE,,,95,132,83,120,99,97,119,109,207,153,175,,,47
,,,86,88,63,114,93,58,74,109,105,56,35,,,47
ALBUQUERQUE NM,57,,,,,,,,,,,,,,,47
,,2,2,3,,2,2,2,1,2,2,2,2,,,47
AVERAGE,,293,225,114,,91,87,186,97,99,216,289,,,,47
,57,,,,,,,,,,,,,,,47
,,44,,24,25,25,8,,42,67,24,28,41,,,47
,,32,,20,25,16,8,,26,67,21,27,33,,,47
AVERAGE,,,,,25,8,8,,17,67,18,25,26,,,47
,,22,,16,,,,,,,,,,,,47
,55 56,,,,,,,,,,,,,,,47
,,4,4,4,4,5,4,8,9,8,10,7,4,,,47
AVERAGE,,119,111,118,78,45,39,49,64,86,109,83,101,,,47
,57,,,,,,,,,,,,,,,47
,,5,6,6,5,3,4,11,8,,i1,,11,,,47
,,,,,122,58,,100,151,223,405,214,276,,,47
AVERAGE,,70,71,67,55,38,39,50,70,122,144,,,,,47
,56,,,,,,,,,,,,,,,47
,,3,1,3,,,,2,4,2,3,2,3,,,47
AVERAGE,,154,45,78,,,,33,59,48,74,89,59,,,47
,,72,45,39,,,,16,41,40,,35,59,,,47
,57,,,,,,,,,,,,,,,47
AVERAGE,,49,75,89,137,49,64,57,37,,54,,97,,,47
,,41,43,,137,17,45,,37,42,19,,97,,,47
,,2,3,1,3,2,2,2,2,2,3,2,2,,,47
,,32,77,43,66,49,79,47,45,32,76,46,76,,,47
AVERAGE,,28,60,43,45,35,47,34,33,27,,34,,,,47
,,24,32,43,25,22,16,21,22,23,23,23,43,,,47
AVERAGE,,125,43,28,63,35,29,53,Si,98,89,68,130,,,47
,,,29,,56,29,17,38,45,35 35,50,18,,,,47
TEXA,57,,,,,,,,,,,,,,,47
,,2,2,2,3,2,2,2,2,3,1,2,3,,,47
,,22,15,31,25,77,29,28,43,48,49,60,36,,,47
AVERAGE,,18,14,27,21,46,27,23,30,33,49,42,34,,,47
,,15,14,23,16,15,26,19,18,25,49,24,30,,,47
,55 57,,,,,,,,,,,,,,,47
,,385,209,209,163,127,146,195,180,181,272,339,424,,,47
,,,,,,,,103,101,128,137,140,262,,,47
AVERAGE,,221,127,127,75,75,87,,,,,,,,,47
,,79,65,47,26,27,53,59,,70,86,49,47,,,47
BOISE,57,,,,,,,,,,,,,,,47
,,7,4,4,2,3,2,2,3,2,2,2,1,,,47
,,130,109,175,80,57,41,46,64,142,119,237,56,,,47
AVERAGE,,104,80,127,66,48,33,39,,91,118,197,56,,,47
,,81,51,80,53,40,25,32,41,41,118,158,56,,,47
,57,,,,,,,,,,,,,,,47
AVERAGE,,22,32,25,20,11,18,25,17,28,25,,20,,,47
,57,,,,,,,,,,,,,,,47
,,467,255,,104,192,1021,112,153,225,177,315,370,,,47
AVERAGE,,247,145,69,74,72,75,67,82,143,121,212,229,,,47
