Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONNECTICUT TOTAL,,36,9,2800,113,12,19,20,,22,39,44,55,88,,170
,MASSACHUSETS FOTAL,55,49,3,300,34,6,10,11,20,27,29,31,44,62,,170
,NEW JERSEY TOTAL,55 56,120,,150,23,5,9,10,14 14,18,22,27,35,46,,170
,,,,,,,22,31,41,54,,68,88,941102 94,102,,170
,TOTAL,54 56,38,1,210,65,,,,,,,,,,,170
,,,,,,,,,,,,,20,,,,170
,PENNSYLVANIA TOTAL,56,265,,200,19,3,5,8,10,12,16,,26,44,,170
,DIS COLUMBIA TOTAL,55 56,17,8,40,24,10,11,,20,21,22,29,31,39,,170
,KENTUCKY TOTAL,54 55,62,,86,10,1,2,3,3,5,7,9,12,21,,170
,MARYLAND TOTAL,57,16,17,84,41,19,22,28,31,35,44,55,59,74,,170
,,,,,,,,,3,,7,8,8,10,,,170
,WEST VIRGINA TOTAL,55,16,,100,12,2,3,,,,,,,,,170
,,55,21,2,20,6,2,3,3,4,5,5,6,8,19,,170
,,55 56,16,3,60,10,3,4,5,6,6,7,8,10,11,,170
,TENNESSEE TOTAL,55 56,32,,30,,1,2,3,3,4,4,5,7,9,,170
,,55 56,106,,200,19,4,6,7,9,10,i1,20,27,42,,170
,TOTAL,,,,,,,,,,,,,,,,170
,,,,,,,,,,,,,,28,31,,170
,TOTAL,55 56,86,1,100,18,4,5,7,9,10,,21,,,,170
,OHIO TOTAL,55 57,35,,99,20,5,6,9,10,41,16,24,34,49,,170
,WISCONSIN TOTAL,,19,11,70,29,15,17,19,20,22,24,31,41,57,,170
,TOTAL,54,21,2,60,8,2,3,4,4,,5,6,10,11,,170
,TOTAL,55 56,50,,50,10,3,4,6,7,8,9,10,17,21,,170
,MISSOURI,,,,,,,,,,,,,,,,170
,,,,,,,,,,,,,,3,5,,170
,LOUISIANA TOTAL,54,46,,7,2,,1,1,2,2,2,3,,,,170
,TEXAS TOTAL,54 55,119,,60,3,,1,1,1,2,2,3,4,5,,170
,COLORADO TOTAL,54 55,23,,20,4,,1,1,1,2,3,5,6,,,170
,UTAH TOTAL,54 55,26,1,30,11,5,6,6,7,9,10,11,19,22,,170
,ALASKA TOTAL,54 55,15,,120,17,1,4,5,7,10,10,1i,11,22,,170
,,,,,100,16,3,5,7,9,10,15,20,22,30,,170
,CALIFORNIA TOTAL,55 56,107,,,,,,,,,,,,,,170
,OREGON TOTAL,54 55,20,20,100,65,28,31,44,52,62,74,88,93,99,,170
,WASHINGTON TOTAL,57,20,22,180,78,23,26,52,66,74,83,96,110,123,,170
,NEW TOT AL,56,85,3,2800,67,9,11,19,21,26,29,41,50,74,,170
,ATLNTC TOT,54 56,423,,210,25,4,7,9,12,16,20,26,37,58,,170
,MIO AL,,,,,,,,,,,,,,,,170
,,,,,,,,,,,,13,20,28,42,,170
,TOTAL,54 57,113,,100,17,2,3,5,7,9,,,,,,170
,TOT AL,55 56,69,,60,7,2,3,3,4,5,5,6,8,11,,170
,,55 57,246,,200,19,4,6,8,9,11,19,21,29,43,,170
,TOT AL,54 56,71,,60,9,3,4,4,,7,8,,11,20,,170
,,,165,,60,3,,1,1,2,2,2,3,4,5,,170
,GULF SOUTH TOT AL,54 55,,,,,,,,,,,,,,,170
,,,,,,,,,,,6,7,10,11,20,,170
,TOT AL,54 55,49,,30,8,,1,3,5,,,,,,,170
,TOTAL,54 57,160,,180,30,,,,10,19,21,29,49,91,,170
,,54 57,1381,,2800,21,2,3,5,8,10,1,,29,49,,170
