Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,36,,,,,,,,,,,,,,131
,,,36,,70,12,5,6,7,8,9,10,11,19,21,,131
,,55,49,10,550,123,34,45,52,66,82,94,117,162,315,,131
,,,,,,,,,30,38,44,55,65,83,119,,131
,TOTAL,55 56,130,,1500,82,18,26,,,,,,,,,131
,,54 56,74,,102,20,2,7,9,10,13,18,21,29,42,,131
,,,,,,,,,,,,14,,,,,131
,,54 56,275,,2400,95,1,2,4,5,7,14,29,60,224,,131
,TOTAL,54 56,43,,12,1,,,1,1,1,1,2,3,,,131
,,54 55,69,,79,9,1,1,2,4,5,5,10,16,24,,131
,,,,,,,,5,5,6,6,7,,7,8,,131
,,57,18,4,13,6,4,,,,,,,,,,131
,,54,22,,27,8,4,4,5,6,6,7,9,11,20,,131
,,54,28,,39,6,1,2,2,3,3,4,4,4,6,,131
,,54 56,22,,30,6,,1,4,4,4,5,,7,11,,131
,,55 56,32,,20,4,,1,1,2,3,4,5,7,9,,131
,,,,,,,,,,5,6,9,10,12,19,,131
,,54 56,149,,300,11,,1,4,,,,,,,,131
,,55 56,,,170,17,1,4,6,7,9,10,16,21,31,,131
,MICHIGAN TOTAL,53 54,32,,396,66,6,15,26,37,41,45,49,62,123,,131
,OHIO TOTAL,54 57,163,,467,15,,1,1,2,4,6,8,,26,,131
,,57,19,4,80,19,4,5,6,8,11,13,18,31,44,,131
,,,,,,,,2,,,5,6,8,10,17,,131
,MISSOURI TOTAL,54 56,58,,50,7,1,2,3,4,,6,9,10,19,,131
,,54 55,50,,20,2,,,,,1,1,,3,4,,131
,TEXAS TOTAL,54 55,147,,114,12,,1,1,,5,7,14,21,29,,131
,,54 55,26,,40,9,1,2,4,,6,9,10,19,20,,131
,,,,,,,,,,,,,,10,19,,131
,UTAH TOTAL,54 55,31,,30,7,1,2,3,4,6,,,,,,131
,ALASKA TOTAL,54 55,34,,53,3,,,,,1,1,,1,3,,131
,CALIFORNIA TOTAL,54 56,222,,61,,,1,1,,,,,,17,,131
,,54 55,72,,40,4,,1,1,,2,,,,8,,131
,,,,,,,,,,,6,,,,13,,131
,,,,,42,8,3,4,5,6,,,,9,,,131
,,55 56,85,,550,76,6,9,,2,42,,,104,,,131
,MIO,54 56,479,,2400,80,1,4,6,10,19,29,42,65,123,,131
,,54 57,152,,79,7,,1,,,4,,,10,17,,131
,,,,,39,,,1,2,,,,,6,10,,131
,TOTAL,54 56,,,,,,,,,,,,,,,131
,WEST TOTAL,53 57,449,,467,18,,1,3,,,9,1,19,38,,131
,TOTAL,54 56,,,50,7,1,2,,4,,,,10,18,,131
,GULF SOUTH TOTAL,54,197,,114,9,,1,,,5,,,16 16,25,,131
,,54 55,,,40,8,1,2,,,,,,1,20,,131
,,54 57,348,,61,5,,,1,,,,,,15,,131
,,53 57,1938,,2400,31,,1,,,,,1,2,52,,131
