Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
,,,,6,4,5,12,7,3,6,6,9,7,,,76
,,,23,12,22,10,12,9,10,31,11,i9,15,,,76
AVERAGE,,,9,8,14,,,,,,,,,,,76
,,,3,2,7,1,3,3,3,5,,2,2,,,76
,54 55,,,,,,,,,,,,,,,76
,,3,2,3,2,3,3,4,7,5,4,2,3,,,76
,,4,3,5,14,7,11,4,5,8,10,1,4,,,76
AVERAGE,,2,2,4,9,4,4,2,,4,6,1,1,,,76
,54 55,,,,,,,,,,,1,,,,76
,,2,2,2,2,2,5,2,2,2,2,,2,,,76
AVERAGE,,6,2,6,4,1,2,3,,4,4,6,10,,,76
,,4,,6,3,,2,3,4,4,3,6,7,,,76
,54 55,3,2,2,2,2,2,2,2,2,2,,3,,,76
,,5,33,5,3,2,3,9,2,2,4,3,10,,,76
AVERAGE,,1,,3,2,1,,,,,,,,,,76
,,,10,1,2,,2,,2,2,,3,3,,,76
,54,,,,,,,,,,,,,,,76
,,1,,2,2,,5,1,3,3,3,1,3,,,76
,,9,3,,,,6,3,23,4,,1,12,,,76
AVERAGE,,9,1,1,1,,3,3,2,2,,1,,,,76
,55 56,,,,,,,,,,120,,,,,76
,,3,2,,1,3,,130,2,2,,,1,,,76
,,432,93,116,130,9,141,,78,2s 2,12,260 26,,,,76
AVERAGE,,209,63,87,130,,136,,68,16,106,96,8,,,76
,,3,33,59,130,10,131,6,58,5,84,5,8,,,76
,54,,,,,,,,,,,,,,,76
,,5,6,5,4,4,9,8,3,4,6,,,,,76
,,i1,9,10,,2,8,,6,22,30,,,,,76
,,,,,,,,,,6,12,,,,,76
AVERAGE,,6,4,3,2,,4,8,4,,,,,,,76
,,2,,,,,,2,4,,,,,,,76
,54 55,,,,,,,,,,,,,,,76
,,3,3,,,,1,3,2,3,4,5,4,,,76
,,8,17,,,,11,46,21,19,25,28,16,,,76
,,6,13,,,,11,30,16,18,19,6,9,,,76
,54 56,,,,,,,,,,,,,,,76
,,4,6,2,,3,4,5,5,6,4,,6,,,76
AVERAGE,,4,6,4,,4,13,3,,6,8,6,6,,,76
,,3,2,3,,1,4,1,2,1,2,4,3,,,76
,55 56,,,,,,,,,,,,,,,76
,,3,,,1,1,2,4,4,1,3,7,1,,,76
,,15,3,14,5,17,16,15,26,13,29,11,1,,,76
,,7,3,7,5,17,11,9,12,13,14,7,1,,,76
AVERAGE,,,3,1,5,17,6,3,4,13,6,2,1,,,76
,,2,,,,,,,,,,,,,,76
OOLESEX,,,,,,,,,,,,,,,,76
AVERAGE,,2,3,1,,,1,3,3,2,5,5,2,,,76
LA,55 56,,,,,,,,,,,,,,,76
,,4,4,3,1,,5,3,,1,7,3,3,,,76
AVERAGE,,3,4,1,,,5,3,,,7,2,3,,,76
KA VA,55,,,,,,,,,,,,,,,76
,,,3,4,,4,1,4,2,,1,1,2,,,76
AVERAGE,,,2,3,,4,1,2,2,,1,1,2,,,76
HA,54,,,,,,,,,,,,,,,76
AVERAGE,,,6,,,,,2,3,1,3,3,13,,,76
,,,6,,,,,1,1,1,3,3,,,,76
DE,54 55,,,,,,,,,,,,,,,76
,,,1,1,1,,,1,,2,2,1,1,,,76
AVERAGE,,,,,,,,,,,,,,,,76
,,,,1,3,,,,,1,2,3,,,,76
