Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Page
,,,,,,,,,243,,227
,,,,,,,,BELOW,,,227
WATERBURY CONN,55 56,36,36,,,,55 56,36 36,,,227
,55,23,23,,,,55,23 20,50,,227
EVERETT MASS,55,26,253,1,,,55,26 22,100,,227
J,55 56,20,20,,,,55 56,20 20,,,227
,55 56,23,23,,,,55 56,23 23,,,227
,55 56,,ig,,,,55 56,19 19,,,227
PERTH AMBOY,55,,21,,,,,19,180,,227
,55 56,16,16,,,,55 56,16 16,,,227
JERSEY,55 56,,21,,,,55 56,21,,,227
NEW YORK N Y,54 S6,39,39,,,,,,,,227
,,,,,,,54 56,39 39,,,227
PA,55,147,138,,,,,,,,227
,,,,,,PHILADELPHIA PA,,147,270,,227
ALTOONA PA,56,13,13,,,,,13 13,,,227
BRISTOL PA,55 56,18,18,,,BRISTOL PA,55,18 18,,,227
CHESTER PA,55 56,18,,,,CHESTER,,18 is,,,227
,,,,,,PA,,,,,227
,56,25,23,1,,,,,,,227
,,,,,,,56,25 25,,,227
PA,56,21,,,,,,,,,227
,,,,,,,96,21 20,60,,227
,56,23,21,1,,,55 56,23 23,,,227
,55,17,17,,,,55,17 17,,,227
LOUISVILLE KY,54,62,56,1,,,54,62 61,590,,227
,57,18,2,10,,,,,,,227
,,,,,,,,18,67,,227
CHARLESTON,55,,,,,,,,,,227
VA,,16,14,4,,,55,15 15,,,227
TAMPA FLA,55,21,21,,,,,21 21,,,227
ATLANTA GA,55 56,16,16,,,,56,16 16,,,227
CHATTANOOGA TENN,55 56,32,32,,,,,32,,,227
,,,,,,CHATTANOOGA TENN,55 56,32,,,227
CHICAGO,55,77,56,2,,CHICAGO,55,77 69,100,,227
EAST Poe,55 56,29,29,,,,55 56,29 26,30,,227
EAST CHICAGO,55 56,86,50,16,,IND,55 56,86 72,200,,227
CINCINNATI QHIO,55,23,22,1,,,,23 23,,,227
29,,,,,,CINCINNATI,55,,,,227
,57,i2,1,8,,,,,,,227
,,,,,,,57,12 12,,,227
,57,19,5,4,,MILWAUKEE wis,,19 18,130,,227
,54 55,21,21,,,,54,21,,,227
oo,56,27,27,,,MO,55 56,27 27,,,227
,55 56,23,22,1,,,55,23 23,,,227
,54,46,46,,,,,,,,227
,,,,,,LA,54 55,46 45,90,,227
,54,24,22,1,,,54 55,24 24,,,227
,54 55,64,63,2,,HOUSTON TEXAS,54 55,64 63,50,,227
on BELLAIRE TEXAS,54 55,31,26,1,,,54,31 29,40,,227
,54 55,23,12,4,,,,,,,227
,,,,,,,54,23 21,50,,227
SALT,,,,,,,,,,,227
UTAH,54 55,26,24,1,,,54 55,26 26,,,227
ANCHORAGE ALASKA,54 55,13,13,,,,54,13 13,,,227
at,56,32,32,,,,55 56,32 32,,,227
PASADENA CALIF,55 56,19,19,,,PASADENA CALIF,55 56,19 19,,,227
SAN JOSE CALIF,55 56,25,2s,,,,55 S6,25,,,227
,,,,,,SAN JOSE CALIF,,25,,,227
SAN LEANDRO CALIF,55,30,30,,,,,,,,227
,,,,,,,56,30 30,,,227
,54,20,is,1,,,54 56,20 20,,,227
SEATTLE WASH,57,20,17,3,,,57,20 ig,72,,227
GRAND TOTAL,54 57,,,8,,,54 57,,270,,227
vo,,,,,,,,,,,227
G,ogle,,,,,,,,,,227
oa O,,,,,,,,,,,227
