Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,CNTY MASS,1455,55,23,2,90,23,3,7,,9,10,19,20,43,50,,210
,LAKEHURST N J,,55 56,,,180,23,1,2,3,5,8,8,10,37,54,,210
,KANAWHA co W VA,,54 55,22,,9,1,,,,1,1,1,1,3,4,,210
,,,54,4,,14,6,,1,1,4,4,4,8,8,15 15,,210
,FULTON,1154,54,,,,,,,,,,,,,,,210
,,,,4,,6,2,,1,1,1,1,,2,2,6,,210
,HAMILTON,,54 55,28,,80,5,,,,1,1,1,1,2,9,,210
,TONKA,1154,54,9,,2,,,,,1,1,1,1,1,1,,210
,DENVER COUNTY COLO,,54 55,10,,20,2,,,,1,1,1,1,2,2,,210
,,,54,5,,5,1,,,1,1,,,2,2,5,,210
,MULTNOMAH CNTY ORE,1454,54,12,,5,,,,,,1,1,1,1,,,210
,,,54 56,136,,180,8,,,1,1,1,2,5,9,,,210
,PT WORONZOF ALASKA,,55 56,12,1,20,6,1,2,3,3,5,7,,8,10,,210
