Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,AVER AGE,,19,22,37,29,15,20,4,21,14,2,12,34,,,144
,,LOU,55 56,,,,,,,,,,,,,,,144
,,AVER AGE,,,,,,,,,,,8,13,29,,,144
,,,,17,17,,8,8,13,i2,18,18,8,10,27,,,144
,,NEW OR,54 55,,,,,,,,,,,,,,,144
,,AVER AGE,,1,3,1,2,12,15,4,5,8,3,3,6,,,144
,,FT WOR TH TEXAS,,,,,,,,,,,,,,,,144
,,AVER AGE,,5,5,44,19,20,17,3,7,6,6,4,13,,,144
,,HOUSTON TEXAS,54 55,,,,,,,,,,,,,,,144
,,AVER AGE,,38,19,21,13,17,28,7,7,16,7,9,17,,,144
,,MUM,,38,4,,,4,,,3,5,3,2,3,,,144
,,BELLA RE TEXAS,54 55,,,,,,,,,,,,,,,144
,,AVER AGE,,5,6,6,3,12,17,9,15,9,4,3,12,,,144
,,OE NVER COL,54,,,,,,,,,,,,,,,144
,,AVERAGE,,7,2,44,31,10,32,19,10,9,14,15,5,,,144
,,SA LT,54 55,,,,,,,,,,,,,,,144
,,AVER AGE,,13,27,,15,15,39,14,20,16,13,17,11,,,144
,,AGE,,,,,,,,,,,,,,,,144
,,AN CHOR ALASKA,54 35,,,,,,,,,,,,,,,144
,,AVER AGE,,14,6,29,195,115,70,149,58,66,64,7,13,,,144
,,MUM,,14,,,2,67,20,149,16,46,4,,2,,,144
,,LOS ANGELES CALIF,54,,,,,,,,,,,,,,,144
,,AVER AGE,,,26,93,68,52,54,44,,,,,,,,144
,,MUM,,,26,72,56,36,43,,,,,,,,,144
,,,,,,,,,,44,,,,,,,,144
,,SA CALIF,55 56,,,,,,,,,,,,,,,144
,,AVER AGE,,2,5,1,5,5,6,2,1,1,,1,,,,144
,,MUM,,,5,,5,4,5,,,,,,,,,144
,,PA SADENA CALIF,54 56,,,,,,,,,,,,,,,144
,,AVER,,,,,,55,59,38,29,34,53,,,,,144
,,AGE,,14,,31,26,22,35,22,25,18,29,,,,,144
,,BE RKELEY CALIF,54 55,,,,,,,,,,,,,,,144
,,AVER AGE,,7,22,,45,45,29,26,10,13,10,17,25,,,144
,,SA,54 56,,,,,,,,,,,,,,,144
,,AVERAGE,,26,20,25,,22,15,13,23,26,16,9,12,,,144
,,MUM,,11,7,2,43,5,2,,20,14,9,2,,,,144
,,SA N LEANDRO CALIF,55 56,,,,,,,,,,,,,,,144
,,AVERAGE,,2,3,,,7,,,,10,10,,,,,144
,,,,,,6,4,,18,10,18,,,8,2,,,144
,,,54 55,,,,,,,,,,,,,,,144
,,AVERAGE,,16,61,38,34,56,,22,19,21,40,40,,,,144
,,SEATTLE WASH,57,,,,,,,,,,,,,,,144
,,AVERAGE,,,23,34,17,70,38,56,26,22,37,,,,,144
,,MUM,,45,11,34,11,34,25,47,1i,14,37,,,,,144
