Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,36,,10,3,1,1,,2,2,3,3,4,5,,200
,ONNE OTAL,,,,,,,,,,,,,,,,200
,M ASSA CHuS T TOTAL,55,49,,20,2,,,1,1,1,,2,2,4,,200
,EW J ERSE Y TO AL,,130,,,2,,,1,1,1,1,2,3,4,,200
,EW Y ORK T GTA L,54 56,73,,61,,,1,1,2,3,4,5,14,37,,200
,,54 56,275,,68,3,,,1,1,1,2,3,3,4,,200
,ENNS YLVA N,,,,,,,,,,,,,,,,200
,,,,,,,,,,,,,,5,20,,200
,OLUM B 1A TOTAL,54 56,46,,98,8,,,1,1,2,2,3,,,,200
,ENTU KY OTA,54,67,,15,3,,1,1,2,2,3,4,6,9,,200
,ARYL A NO T,57,18,2,33,9,3,5,6,7,8,8,9,11,12,,200
,EST TOTAL,54 35,27,,106 06,19,2,,5,7,10,14,19,20,30,,200
,LORI A T 0 TAL,54 55,26,,9,,,,,,1,1,1,1,1,,200
,,,,,,,,2,3,3,4,4,6,9,18,,200
,EORG A T FAL,54 56,22,1,55,8,1,,,,,,,,,,200
,ENNE SEE TOT AL,55 56,32,,,2,,,1,1,1,2,2,3,3,,200
,LLIN T OTA,54,147,,62,5,,1,1,1,2,2,3,4,9,,200
,N A T 0 TAL,55,66,,30,5,1,1,2,2,3,4,5,7,14,,200
,,,21,1,108,40,3,6,7,12,39,52,57,65,04,,200
,AN T OTA,,,,,,,,,,,,,,,,200
,,,,,,,,1,1,1,2,3,5,,25,,200
,T OTA,54,135,,71,8,,,,,,,,,,,200
,N TOT AL,57,19,4,38,12,4,5,7,9,10,12,13,15,23,,200
,INNE OTA TOT AL,54,35,,72,8,,1,1,,2,2,3,4,39,,200
,U QTA,54 56,61,,60,6,,1,1,1,2,2,3,4,30,,200
,TOT,54 55,530,,1,,,,,,1,1,1,1,1,,200
,ANA AL,,,,,,,,,,,,,,,,200
,,,,,,,,,1,1,1,1,2,3,11,,200
,EXAS ToT A,54,143,,518,8,,,,,,,,,,,200
,,,,,,,,,,,,,,,10,,200
,OLOR T OTA,54,26,1,24,5,1,2,2,3,3,4,5,7,,,200
,TAH TOTAL,54,31,,66,10,1,5,6,8,9,9,10,10,19,,200
,LASKA TOT AL,54,41,,750,89,1,2,7,ia 138,49,85,11,149,220,,200
,TO TAL,54 56,215,,131,9,,1,1,1,2,3,5,7,28,,200
,ALIFORNIA,,,,,,,,,,,,,,,,200
,,,,,,11,1,2,3,4,5,7,9,14,39,,200
,REGON TOT AL,54 55,74,,66,,,,,,,,,,,,200
,,,,,,,,,,,,,,,20,,200
,ASHINGTON TOTAL,57,20,5,37,14,6,7,8,9,15,16,,18,,,200
,NEW ENGLND ToT AL,56,85,,20,2,,1,1,1,2,2,3,3,5,,200
,ATLNTC TOT AL,54 56,478,,68,3,,,1,1,1,2,3,3,5,,200
,,54 57,158,,106,8,,1,1,2,3,5,6,9,19,,200
,EAST TOTAL,,,,,,,,,,,,,,,,200
,,,,,,,,,,1,,2,2,3,7,,200
,EAST TOT AL,54 56,,,,3,,,1,,1,,,,,,200
,,,,,,,,,,,,3,,10,21,,200
,WEST TOTAL,57,4065 408,,108,8,,1,1,2,3,,,,,,200
,TOT AL,54 56,96,,72,7,,1,1,1,2,2,3,4,30,,200
,GULF SOUTH TOT AL,54,193,,518,,,,,1,1,1,1,2,6,,200
,,55,,,66,8,1,2,,4,6,8,9,10,19,,200
,ROCKY MNTN TOT AL,54,57,,,,,,,,,,,,,,200
,,,,,,,,,,,,,9,20,48,,200
,PAC COAST TOTAL,54 57,350,,750,19,,1,,2,4,5,,,,,200
,TOTAL,,,,,,,,,,,,,,,,200
,,53 57,1907,,750,8,,1,1,1,2,3,4,7,18,,200
