Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,,,,,,,,,PER,CUBIC,,,,,,55
,L,55 57,70,1,490,46,3,11,13,15,19,28,35,,,,55
,,,,,,,,10,11,12,14,15,,26,38,,55
,MAINE TOTAL,57,14,6,38,18,6,,,,,,,,,,55
,MASSACHUSETS TOT AL,55 57,134,,588,33,2,6,8,10,13,16,24,36,,,55
,NEW HAMPSHRE TOT AL,57,ii,6,,41,6,8,9,,20,26,42,691129 69,29,,55
,RHODE TOT AL,55 57,32,1,64,15,2,3,4,6,12,13,14,26,42,,55
,VERMONT TOTAL,57,16,5,188,28,7,10,10,11,14,18,23,26,,,55
,,,,,,,11,,,,30,33,45,51,38,,55
,DELAWARE TOTAL,57,20,8,526,60,,14,23,27,,,,,,,55
,JERSEY TOTAL,55,66,1,740,60,,14,17,20,25,31,40,,69,,55
,TOTAL,53 57,178,,268,20,1,3,6,8,ii,14,19,32,56,,55
,PENNSYLVANIA TOT AL,53 57,347,,930,29,1,3,5,8,11,14,18,24,41,,55
,,,,,,,,,5,7,10,14,19,25,36,,55
,0158 COLUMBIA TOT AL,57,145,,163,16,1,3,,,,,,,,,55
,KENTUCKY TOTAL,54 57,74,1,728,29,2,4,,6,8,10,14,20,50,,55
,MARYLAND TOTAL,,23,4,148,31,11,14,16,17,19,23,30,42,64,,55
,NO CAROLINA TOTA L,57,34,6,234,35,10,13,14,18,20,23,30,42,96,,55
,L,57,14,5,58,20,5,6,7,9,,20,26,30,54,,55
,,,,,,,,,18,19,26,30,42,62,113,,55
,VIRGINIA TOTAL,57,33,3,243,44,7,16,,,,,,,,,55
,TOT AL,53,83,,826,29,1,3,5,8,,15,,26,38,,55
,ALABAMA TOTAL,,14,6,234,56,6,14,15,26,42,48,,64,186,,55
,FLORIDA TOTAL,53 57,162,,658,28,1,2,3,6,9,12,18,25,48,,55
,,,,,,,,,,,,,30,47,,,55
,GEORGIA TOTAL,53 57,116,,533,34,1,4,6,8,,25,,,93,,55
,TOTA,57,16,8,562,16,11,12,16,17,,54,69,113,446,,55
,CAROLINA TOTA,57,37,2,685,78,11,17,23,30,39,54,64,79,113,,55
,TENNESSEE TOTAL,55 57,100,,,72,2,4,7,,16,23,31,,96,,55
,TOTAL,54 57,209,,721,24,1,3,4,6,8,12,16,23,33,,55
,,,,,,,,,17,20,24,30,39,,67,,55
,TOTAL,55 57,124,3,486,45,7,14,,,,,,,,,55
,MICHIGAN TOTAL,53 57,132,,706,27,1,1,2,6,10,14,,,46,,55
,OH10 TOTAL,53 57,493,,1179,23,1,1,2,4,7,11,17,23,37,,55
,WISCONSIN FOTAL,57,33,3,493,,6,11,14,18,23,28,33,42,145,,55
,1OWA TOTAL,57,18,8,705,95 9,14,16,18,20,26,33,42,88,145,,55
,,,,,3240 32401168,68,7,,15,19,26,42,64,797145 79,145,,55
,KANSAS TOTAL,55 57,28,5,,,,,,,,,,,,,55
,MISSOURI TOTAL,,144,,1201,41,1,3,4,9,,16,25,35,,,55
,NEBRASKA TOTAL,57,34,2,278,50,6,10,12,19,24,31,42,69 697145,145,,55
,,,,,3314,64,14,15,18,20,38,42,59,69,88,,55
,NORTH DAKOTA TOTAL,57,16,7,,,,,,,,,,,,,55
,,,,,,,,,,,,,,105,,,55
,TOTAL,57,17,10,549,76,12,,14,,20,30,86,,113,,55
,ARKANSAS TOTAL,57,17,10,713,75,11,12,14,18,33,36,42,69,88,,55
,LOUISIANA TOTAL,54 57,156,,1427,37,2,4,6,8,,19,26,40,66,,55
,NEW MEXICO TOTAL,57,15,3,,19,14,15,18,20,33,79,13,166,572,,55
,,,,,,,10,11,11,20,33,38,88,113,145,,55
,OKLAHOMA TOTAL,,14,10,535,81,,,,,,,,,,,55
,TEXAS TOTAL,53 57,435,,1931,48,1,3,5,8,12,16,23,33,62,,55
,COLORADO TOTAL,54 57,1035,1,1592,70,2,5,9,13,17,22,31,49 491129,129,,55
,TOTAL,57,17,6,1423,52,7,14,18,26,33,38,88,134,145,,55
,MONTANA TOTAL,57,18,7,241,42,8,11,12,20,27,30,33,42,,,55
,,,76,,4350,827,3,5,7,12,18,29,40,54,85,,55
,UTAH TOTAL,53 57,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,305,353,,55
,ALASKA TOTAL,53 57,104,,110,7,,1,1,2,2,4,6,10,15,,55
,ARIZONA TOTAL,57,16,15,7319 73191670,670,20,26,30,38,48,62,88,129,305,,55
,CALIFORNIA TOTAL,53 57,398,,3500 3500,25,1,2,3,6,9,13,19,27,42,,55
,,,,,,18,,5,6,8,14,18,24,31,42,,55
,TOTAL,57,49,2,52,,4,,,,,,,,,,55
,,,,,,,,,,,,,,305,,,55
,NEVADA TOTAL,,18,15,3800,436,,26,28,33,39,54,13,,642,,55
,OREGON TOTAL,53 57,175,,188,13,,1,1,2,5,8,11,16,35,,55
,WASHINGTON TOTAL,57,24,2,79,14,2,3,4,8,9,,16,19,30,,55
