Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Page
,VA,1454,,54,6,,5,3,1,1,1,1,4,4,4,5,,,182
,,,,,4,,32,11,,1,,1,,1,14,14,32,,182
,co FLA,1454,,54,,,,,,,1,,1,,,,,,182
,,1154,,54,4,,26,15,,1,1,15,i5,15,el,21,26,,182
,,,,54 55,30,,18,4,,1,1,2,3,4,6,8,10,,182
,TONKA,1154,,54,8,,7,,,,,,1,1,1,1,1,,182
,,,,,,,,,,,,,,,,,10,,182
,,1154,,54,5,,10,2,,,1,1,1,1,1,1,,,182
,,1754,,54,12,,24,12,1,2,7,7,9,14,18,20,21,,182
,,,,54 55,69,,32,6,,1,1,1,3,5,8,14,19,,182
