Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONN,,,,,,,,,,,,,,,,96
,AVERAGE,,184,241,214,240,200,94,156,118,183,206,256,290,,,96
,,,107,215,162,145,111,TT,,74,185,134,222,260,,,96
,,,2,2,5,1,1,2,2,4,,2,2,1,,,96
,AVERAGE,,,126,106,59,64,69,80,105,38,107,143,153,,,96
,,,35,114,65,,64,52,80,60,38,92,,153,,,96
,,,3,3,3,1,,3,,,,,,,,,96
,,,173,115,109,35,225 2,,3,2,2,1,1,2,,,96
,,,,,,,,98,65,88,,80,130,211,,,96
,AVERAGE,,101,82,72,35,145,60,49,82,76,80,130,170,,,96
,,,,62,50,35,65,32,35,76,68,80,130,130,,,96
,,57,,,,,,,,,,,,,,,96
,,,,1,2,2,2,1,1,2,1,2,1,2,,,96
,,,,59,99,104,135,98,31,124,85,2735 2735,90,113,,,96
,AVERAGE,,,59,96,88,99,98,31,109,85,234,90,67,,,96
,,,,59,94,72,,,,,,,,,,,96
,,,,,,,64,98,31,94,gs,195,90,22,,,96
,J,55 56,,,,,,,,,,,,,,,96
,,,120,i321,291,330,,,115,119,101,,186,258,,,96
,AVERAGE,,101,101,163,189,125,,115,106,101,,186,208,,,96
,,56,,,,,,,,,,,,,,,96
,,,,,,,,,,,,175,,93,,,96
,AVERAGE,,247,269,237,185,109,226,161,99,,172,,93,,,96
,,55 56,,,,,,,,,,,,,,,96
,,,2,3,3,2,,1,1,2,3,2,,2,,,96
,,,297,327,269,131,,81,129,139,189,168,,225,,,96
,AVERAGE,,260,,204,122,,81,129,75,134,123,,196,,,96
,,55 56,,,,,,,,,,,,,,,96
,AVERAGE,,119,91,154,147,,,100,86,,154,166,122,,,96
,,,85,91,5,48,,,100,73,,139,120,98,,,96
,J,56,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,276,,,,96
,AVERAGE,,163,246,90,64,64,a4,175,108,,249,276,180,,,96
,,56,,,,,,,,,,,,,,,96
,AVERAGE,,160,233,248,144,,144,194,172,159,,270,265,,,96
,,,121,205,167,114,,132,191,136,159,,270,212,,,96
,,54 57,,,,,,,,,,,,,,,96
,,,5,7,8,8,5,9,7,5,6,6,7,7,,,96
,AVERAGE,,299,245,213,170,169,228,305,177,250,339,303,288,,,96
,,,179,157,5,10,43,155,232,72,126,234,260,154,,,96
,,57,,,,,,,,,,,,,,,96
,,,2,2,2,2,1,3,1,,2,1,,1,,,96
,AVERAGE,,135,166,182,178,60,204,198,82,72,117,,117,,,96
,,,123,163,99,152,60,138,198,82,57,117,124,117,,,96
,PHILADELPHIA PA,,,,,,,,,,,,,,,,96
,,,27,32,35,32,27,a7,35,35,41,39,47,,,,96
,AVERAGE,,314,293,258,218,209,186,213,173,182,223,245,391,,,96
,,,8,108,4,9,14,55,53,,,84,,161,,,96
,,56,,,,,,,,,,,,,,,96
,,,,1,1,2,3,,,1,2,,,,,,96
,,,,,,,,,,105,,153,111,,,,96
,,,,115,112,78,116,,,,118,,,,,,96
,AVERAGE,,,115,112,63,,,,105,88,106,111,,,,96
,,,,115,112,49,97,,,105,59,,111,,,,96
,,,,164,116,94,163,,249,168,215,138,241,278,,,96
,AVERAGE,,,164,116,94,136,,212,188,130,124,194,210,,,96
,,,,164,116,94,110,,175,188,93,110,148,143,,,96
,,,,,,2389 2,2,2,2,3,4,1,,1,,,96
,,,,,,,124,212,217,228,266,66,,118,,,96
,AVERAGE,,,153,,173,99,153,216,187,172,66,,118,,,96
,,,,153,,87,75,95,215,127,a9,66,,118,,,96
