Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Page
,,2,2,2,2,2,5,2,2,2,2,1,2,,89
AVERAGE,,11,12,18,5,12,16,12,13,9,8,12,26,,89
,,,2,,,,,,,,,,,,89
SALT,54 55,,,,,,,,,,,,,,89
AVERAGE,,40,53,17,13,14,16,7,9,9,22,21,45,,89
,57,,,,,,,,,,,,,,89
AVERAGE,,13,12,11,12,12,14,12,9,8,7,7,8,,89
ANCHORAGE ALASKA,54 55,,,,,,,,,,,,,,89
AVERAGE,,33,14,3,10,,5,18,6,14,2,1,3,,89
,,,,1,3,,1,,1,12,,1,,,89
LOS,54 57,,,,,,,,,,,,,,89
AVERAGE,,16,87,55,41,54,101,131,93,97,103,135,125,,89
,55 57,,,,,,,,,,,,,,89
,,,,,,,,,,3,3,5,1,,89
AVERAGE,,24,15,4,13,11,18,4,5,4,5,13,17,,89
CALIF,54 56,,,,,,,,,,,,,,89
,,5,6,5,4,4,9,8,3,4,6,,,,89
AVERAGE,,39,133,33,21,25,,53,59,60,174,,,,89
,54 55,,,,,,,,,,,,,,89
AVERAGE,,58,147,,,,52,21,2,37,23,39,44,,89
,54 56,,,,,,,,,,,,,,89
,,4,6,,,,,,,,,,,,89
AVERAGE,,73,56,13,,44,33,40,33,49,,30,23,,89
,55 56,,,,,,,,,,,,,,89
,,3,1,2,,1,2,4,4,1,3,7,1,,89
AVERAGE,,14,6,17,24,31,60,40,33,20,54,24,,,89
,,,,,,,,32,13,20,47,15,,,89
AVERAGE,,5,10,11,8,17,6,3,3,5,6,6,4,,89
MUM,,5,7,8,6,3,6,3,3,5,6,5,3,,89
,54 55,,,,,,,,,,,,,,89
AVERAGE,,13,,54,1,,,25,30,42,134,160,,,89
,,13,,38,1,,,24,15,23,59,73,,,89
AVERAGE,,15,13,14,6,20,10,,27,29,28,,,,89
,,,,,,,,,,,28,,,,89
