Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
MIDDLESEX,,,,,,,,,,,,,,,,49
AVERAGE,,,,,,,46,66,70,120,200,98,27,,,49
,,45,43,57,31,37,38,36,47,71,95,68,22,,,49
LA KEHURST N J,55 56,,,,,,,,,,,,,,,49
,,56,124,33,61,49,,33,36,43,19,96,116,,,49
AVERAGE,,41,66,32,43,35,,30,35,36,19,45,63,,,49
,,,,,,,,,,25,i9,,32,,,49
KA NAWHA co W VA,55 56,,,,,,,,,,,,,,,49
,,2,2,,1,2,,3,2,3,3,3,3,,,49
,,187,158,,46,49,,83,91,87,59,106,162,,,49
AVERAGE,,111,107,,46,47,,72,70,55,55,52,81,,,49
LLSBOROUGH FLA,56,,,,,,,,,,,,,,,49
AVERAGE,,,,,,,,43,56,49,57,111,79,,,49
,,27,61,55,30,27,,26,31,32,32,55,49,,,49
,,20,61,30,10,19,,16,13,13,19,30,19,,,49
DE NVER COUNTY COLO,55,,,,,,,,,,,,,,,49
AVERAGE,,75,54,,31,42,62,31,29,,27,73,45,,,49
,,,,,,,,,18,,19,,,,,49
