Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Page
,,,,,,,,,,,,,203,,187
,,AVERAGE 13,7,29,,,3,2,5,,5,2,,,187
,,54 55,,,,,,,,,,,,,187
,,,4,1,4,3,4,3,4,4,2,,,,187
,,AVERAGE,8,31,20,7,,9,9,15,14,,,,187
,,,2,31,4,4,4,6,,8,14,,,,187
,,CHICAGO ILL 54 55,,,,,,,,,,,,,187
,,2,4,,,2,9,5,3,4,6,3,,,187
,,AVERAGE 6,5,,,,,,,,,6,12,,187
,,,,,,8,6,,,,2,4,6,,187
,,,,,,8,,,,,1,2,2,,187
,,53 54,,,,,,,,,,,,,187
,,,2,3,2,1,1,,,,,20,,,187
,,AVERAGE,15,13,15,,31,,,,,33,,,187
,,OHIO 54 55,,,,,,,,,,,,,187
,,1,5,44,9,8,17,6,,10,,,,,187
,,AVERAGE,,,30,8,6,,,,,,,,187
,,19,6,12,5,1,1,,,,,,,,187
,,54,,,,,,,,,,,,,187
,,1,2,3,,3,8,,,,,,,,187
,,AVERAGE 46,30,48,,30,8,,,,,,,,187
,,54,,,,,,,,,,,,,187
,,1,3,2,4,2,3,1,2,3,2,,2,,187
,,1,53,50,7,35,64,31,24,21,26,,,,187
,,AVERAGE 1,31,47,3,30,41,31,23,19,25,,,,187
5,,54,,,,,,,,,,,,,187
,,,1,4,3,5,2,2,,,,,,,187
,,AVERAGE,40,48,6,4,iil,21,,,,,,,187
4,,,,,6,,4,20,,,,,,,187
,,54 55,,,,,,,,,,,,,187
,,2,4,2,3,2,3,4,2,2,4,,,,187
,,AVERAGE,4,33,48,5,,19,9,,1,,,,187
,,,,29,27,2,,is,,,,,,,187
,,54 55,,,,,,,,,,,,,187
,,3,4,,1,,2,,,,,,,,187
,,AVERAGE,,,,4,16,4,4,5,5,1,,,187
,,,4,,,2,8,2,2,4,2,,,,187
33,,,,,,,,1,,3,,,,,187
co,,,,,,,,,,,,,,,187
am,,54,,,,,,,,,,,,,187
,,3,4,2,1,2,2,2,2,4,3,5,3,,187
,,AVERAGE,,2,,2,2,2,1,5,4,2,,,187
,,,,1,,,1,2,,,3,,,,187
an,,,,,,,,,,,,,,,187
co,,,,,,,,,,,,,,,187
om,,,,,,,,,,,,,,,187
,,Google,,,,,,,,,,,,,187
oa,,,,,,,,,,,,,,,187
