Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONNECTICUT TOTAL,,,,,,,,,,,,,,,,84
,,,36,2,20,6,2,3,4,5,6,6,7,8,9,,84
,MASSACHUSETS TOTAL,55 57,51,1,38,6,1,2,4,4,5,6,,10,12,,84
,NEW HAMPSHRE TOTAL,57,17,,35,12,4,6,7,8,,10,,24,25,,84
,NEW JERSEY TOTAL,55 56,130,2,69,11,3,4,4,5,6,7,,12,20,,84
,NEW YORK TOTAL,54 57,84,,74,17,2,5,,10,14,18,22,27,35,,84
,,,,1,,,,,,,,,,,,,84
,PENNSYLVANIA TOTAL,54 57,538,,83,16,4,7,,11,13,16,20,24,31,,84
,DIS COLUMBIA TOTAL,54 56,36,1,93,24,6,7,,10,15,,31,43,49,,84
,KENTUCKY TOTAL,54 57,64,3,47,17,7,,,14,16,18,20,24,33,,84
,MARYLAND TOTAL,,19,,42,24,14,16,,2i,24,25,29,32,36,,84
,,,,,,,,,,,,,,20,,,84
,NO CAROLINA TOTAL,57,25,5,37,14,7,,11,11,14,15,18,,22,,84
,TOTAL,57,23,4,112,22,,,13,15,16,17,19,27,36,,84
,WEST VIERGINA TOTAL,55 57,17,1,50,10,2,2,5,6,7,,,12,19,,84
,TOTAL,55 57,25,3,35,13,5,7,8,,11,14,17,18,24,,84
,,55 56,16,2,60,13,2,5,6,7,,11,,17,22,,84
,TENNESSEE TOTAL,55 57,57,,,22,,10,,16,20,,25,31,35,,84
,,,,5,140,,,,13,,,22,,,,,84
,TOTAL,54 57,137,4,200,30,7,9,12,14,18,23,29,45s,70,,84
,TOTAL,55 57,111,4,67,22,,11,13,15,19,22,27,32,41,,84
,OHIO TOTAL,54 57,114,1,205,23,5,7,,13,16,20,27,35,45,,84
,WISCONSIN TOTAL,57,19,7,62,22,,10,12,16,18,19,22,32,41,,84
,TOTAL,57,26,3,,18,6,,11,13,14,,23,25,28,,84
,KANSAS TOTAL,57,25,7,25,16,8,,13,14,15,19,20,21,23,,84
,MISSOURI TOTAL,56,53,1,43,12,4,6,7,,11,12,13,14,23,,84
,NORTH DAKOTA TOTAL,57,23,5,17,10,5,,10,10,11,12,12,13,14,,84
,,,50,,,,,,,,,,,,,,84
,LOUISIANA TOTAL,54 57,,,38,13,1,5,6,,,13,19,21,25,,84
,OKLAHOMA TOTAL,57,19,8,35,17,10,ii,14,,18,18,19,22,27,,84
,TEXAS TOTAL,54 57,144,,83,16,4,7,,10,12,16,19,23,28,,84
,COLORADO TOTAL,54 55,26,2,30,13,4,7,,11,12,13,14,,24,,84
,TOTAL,57,,,11,11,,,,,12,12,12,12,12,,84
,MONTANA TOTAL,57,1,,9,9,,,,,9,9,9,9,9,,84
,UTAH TOTAL,54 55,26,5,110,24,6,,11,14,16,19,,25,32,,84
,ALASKA TOTAL,54 55,26,,33,8,,1,1,3,5,,,15,17,,84
,TOTAL,54 57,225,2,480,48,,10,14,21,27,37,49,77,110,,84
,,57,,,,,,,,,,,,,,,84
,HAWAII TOTAL,,26,3,32,7,2,3,4,,5,5,6,,13,,84
,OREGON TOTAL,54 55,60,1,160,,,13,23,30,44,,67,97,114,,84
,WASHINGTON TOTAL,,20,3,37,19,,11,13,,20,21,24,28,32,,84
,NEW ENGLND TOT AL,55,104,1,38,7,2,3,4,5,6,6,8,10,12,,84
,MtD ATUNTC TOT AL,54 57,752,,83,15,4,5,7,,12,15,,23,31,,84
,TOTAL,54 57,184,1,112,19,6,,10,13,15,18,21,26,37,,84
,TOT AL,55 57,98,2,140,18,6,,10,12,15,18,22,25,33,,84
,MIO WEST TOTAL,54 57,381,1,205,25,6,,12,14,,21,28,36,,,84
,GRT PLAINS TOT AL,54 57,148,4,52,13,5,,,10,12,13,15,20,24,,84
,GULF SOUTH TOT AL,54 357,213,,83,15,3,7,,10,13,16,i9,22,28,,84
,TOT AL,54 57,80,2,110,,6,7,,11,,13,,,24,,84
,PAC COAST TOTAL,54 57,355,,480,41,4,,11,16,23,31,43,65,102,,84
,GRAND TOTAL,54 57,2315,,83,21,4,6,,11,13,17,21,27,41,,84
