Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,,LORAIN,,,,,,,,,,,,,,,18
,,,,145,247,124,,182,159,279,215,78,398,136,343,,18
,,AVERAGE,,,,,1324,,,,,,,,,,18
,,,,114,204,99,134,160,131,173,165,66,267,102,230,,18
,,,,84,162,75,122,138,114,68,116,,105,69,117,,18
,,,57,,,,,,,,,,,,,,18
,,,,2,2,2,3,2,1,2,2,2,3,2,2,,18
,,AVERAGE,,148,231,157,266,104,64,164,113,156,160,102,183,,18
,,,,137,95,97,177,67,64,145,107,,122,o8,117,,18
,,,,2,1,3,2,2,2,2,2,1,2,2,2,,18
,,,,138,134,273,164,100,173,199,163,198,1234,,189,,18
,,AVERAGE,,99,134,215,155,78,118,133,138,198,123,182,134,,18
,,,,60,134,124,147 147,56,64,67,,,122,110,79,,18
,,,,2,2,2,2,3,2,2,2,2,2,2,3,,18
,,AVERAGE,,i192,333,,,,,,,,,110,,,18
,,,,,208,124,143,253,190,197,143,103,127,,,,18
,,,,180,,96,109,165,165,162,,,90,103,115,,18
,,,55 57,,,,,,,,,,,,,,18
,,,,,3,7,8,11,10,7,5,5,1,,,,18
,,AVERAGE,,,213,146,232,174,145,137,152,144,146,,,,18
,,,,,82,58,89,483 48,30,65,,76,146,,,,18
,,,57,,,,,,,,,,,,,,18
,,,,2,3,1,3,1,3,3,2,1,2,3,2,,18
,,,,73,128,94,110,332,121,135,117,68,169,156,68,,18
,,AVERAGE,,66,97,94,83,332,98,123,114,686 66,113,93,64,,18
,,,,59,41,94,57,332,84,101,112,68,,46,61,,18
,,AVERAGE,,126 126,146,161,115,147,85,100,111,115,122,115,1506,,18
,,,,,,,,,,,44,41,64,45,,,18
,,,57,,,,,,,,,,,,,,18
,,,,1,2,3,1,3,2,2,2,2,3,2,2,,18
,,,,123,141,401,,139,123,166,217,166,197,87,231,,18
,,AVERAGE,,,121,225,56,99,95,125,152,95,139,67,139,,18
,,,,123,101,129,56,73,67,84,87,25,79,47,48,,18
,,uo,53,,,,,,,,,,,,,,18
,,SAUPLES,,,11,19,,,,,,,,,,,18
,,,,14,,,19,20,16,16,18,13,i9,i4,9,,18
,,,,490,541,393,528,271,209,248,504,298,418,,389,,18
,,AVERAGE,,229,190,192,217,130,107,122,163,185,138,148,1325,,18
,,,,48,,41,69,36,41,45,,,12,,27,,18
,,,55,,,,,,,,,,,,,,18
,,,,800,,313,310,332,269,322,253,332,,250,375,,18
,,AVERAGE,,287,318,222,219,186,171,187,180,217,226,165,278,,18
,,,,,,,,,,,122,,,99,196,,18
,,BRENTHOOD,,,,,,,,,,,,,,,18
,,,,2,,4,4,2,,2,4,5,3,4,2,,18
,,AVERAGE,,,,103,90,150,,70,87,125,117,103,122,,18
,,,,81,,79,75,144,,67,62,92,70,46,93,,18
,,BRECKENRIDGE,56,,,,,,,,,,,,,,18
,,,,4,3,2,4,2,,,1,4,2,3,1,,18
,,,,267,398,220,321,242,,,99,265,255,175,167,,18
,,AVERAGE,,157,238,208,212,232,,,99,147,168,100,167,,18
,,,,70,122,197,112,222,,,99,50,832,,,,18
,,,,,,,,,,,,,832,,167,,18
,,,,2,2,2,3,2,2,2,2,2,2,3,2,,18
,,,,114,138,194,178,86,110,135,148,106,189,143,171,,18
,,AVERAGE,,106,125,152,120,81,106,123,123,105,,109,163,,18
,,,,103,113,110,89,77,102,112,99,i105,127,92,156,,18
,,Li,57,,,,,,,,,,,,,,18
,,AVERAGE,,,,,,,,,122,170,,,223,,18
,,,,88,163,112,203,122,100,113,117,158,75,112,104,,18
,,,,72,141,96,175,104,68,98,113,146,65,1132 112,128,,18
,,,,160,66,220,132,,74,128,i108,121,148,131,134,,18
,,AVERAGE,,108,58,219,121,109,73,115,93,121,89,,134,,18
,,,,56,,21868,111,80,71,98,75,121,,94,134,,18
,,so,57,,,,,,,,,,,,,,18
,,,,2,2,,,,,,,,,,,,18
,,,,,,2,3,2,2,2,2,2,3,2,2,,18
,,,,70,131,115,123,86,,83,100,82,92,159,169,,18
,,AVERAGE,,69,107,101,100,70,,67,93,,712 72,108,1329,,18
,,,,69,84,88,68,,,51,87,81,62,58,90,,18
