Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,MIOOLESEX,,55,,,,,,,,,,,,,,,196
,AVERAGE,,,18,2,2,,,3,1,,1,,,3,,,196
,LA KEHURST N J,,56,,,,,,,1,,2,1,2,1,,,196
,,,,2,,3,1,,,,,,,,,,,196
,AVERAGE,,,1,,1,,,,,,,,,,,,196
,KA NAWHA VA,,54 55,,,,,,,,,,,,,,,196
,,,,,4,,,,,,,,6,,3,,,196
,AVERAGE,,,,1,,,,,,,,3,,,,,196
,HA MILTON COUNRY OHIO,,54 55,,,,,,,,,,,,,,,196
,AVERAGE,,,,2,,,,,,1,1,,1,,,,196
,,,,,2,,,,,,,,,1,,,,196
,DE NVER COUNTY COLO,,54 55,,,,,,,,,,,,,,,196
,,,,,,,,,,,,3,,,,,,196
,AVERAGE,,,,,,,,,,,3,,,,,,196
,,,,,,,,,,,,3,,,,,,196
