Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,WATERBURY CONN,,55,14,1,9,3,1,2,2,2,2,3,3,3,4,,197
,,,,22,,10,3,1,1,,2,2,3,4,5,7,,197
,,,55 56,36,,10,3,1,1,2,2,2,3,3,4,5,,197
,,,,23,,,,,,,,,,,,3,,197
,BOSTON MASS,,55,,,20,2,,,1,1,1,,1,2,,,197
,,,,26,,7,2,,1,1,,2,2,2,3,4,,197
,ELIZABETH N J,,55 56,21,,5,1,,,,,1,1,1,1,2,,197
,J,,55 56,25,,4,1,,,1,1,1,2,2,3,4,,197
,CAMDEN N J,,55 56,21,,5,2,,1,1,1,2,,3,4,4,,197
,PERTH AMBOY N J,,55 56,23,,61,3,,,,1,1,1,1,2,4,,197
,TRENTON N J,,55 56,17,,6,1,,,,1,1,1,1,2,4,,197
,JERSEY N J,,35 56,23,,13,2,,1,1,1,1,2,2,3,4,,197
,NEW YORK N Y,,54,5,,,27,1,1,7,7,39,39,45,45,60,,197
,,2155,55,42,,61,11,,1,1,2,3,4,12,24,39,,197
,,2156,56,3,2,4,3,,2,2,2,3,3,3,3,,,197
,,,,,,,,,,,,,,,,4,,197
,,,54 56,50,,61,12,,1,1,2,3,4,13,25,41,,197
,,,54 55,23,,31,3,,1,1,2,2,3,4,5,6,,197
,,,54 56,73,,61,9,,,1,2,3,4,5,14,37,,197
,PHILADELPHIA PA,1154,54,6,,68,32,1,1,7,7,26,45,45,60,60,,197
,,,55,94,1,12,2,,1,1,2,2,2,3,3,5,,197
,,1456,56,11,1,4,2,,1,1,2,3,3,,4,4,,197
,,,,,,,,,,,,,,4,,,,197
,,,54 56,111,,68,4,,1,1,2,2,3,3,4,6,,197
,,,54,4,,35,12,,1,1,1,1,1,16,16,39,,197
,,,56,11,,10,2,,,1,1,1,2,2,3,4,,197
,,,56,9,,4,2,1,1,2,2,2,2,2,3,3,,197
,,,56,1i,1,5,2,,1,1,1,2,,3,3,4,,197
,,7456,56,11,1,7,2,,,,1,1,1,2,2,5,,197
,,,54,10,,68,24,,1,1,7,16,26,39,45,60,,197
,,,55,94,1,12,2,,1,1,2,2,2,3,3,5,,197
,,,56,53,,10,2,,1,1,1,2,2,3,3,4,,197
,,,54 56,157 57,,68,4,,1,,1,2,2,3,4,6,,197
,ALTOONA PA,1156,56,13,,3,1,,,,1,1,1,1,1,2,,197
,PA,,55 56,18,,5,1,,,,,1,1,1,1,1,,197
,CHESTER PA,,56,18,,5,2,,1,1,1,2,3,3,3,4,,197
,ERIE PA,,56,25,,3,,,,,,,1,1,1,1,,197
,PA,1156,56,,1,6,2,,1,1,2,2,3,3,3,4,,197
,PA,,55 56,23,,,,,1,,1,,2,,,,,197
,,,,,,,2,,,1,,2,,3,3,4,,197
,,1154,54,26,,98,13,,,1,1,1,1,4,20,45,,197
,,,55 56,20,1,7,3,1,1,1,2,2,2,3,4,5,,197
,,,54 56,46,,98,8,,,1,1,2,2,3,5,20,,197
,LOUISVILLE KY,,54,20,,15,5,,1,2,3,3,5,6,6,14,,197
,,,55,21,,,,,2,,,,,7,,,,197
