Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,,,,,,,,,,,,,,,,43,,27
,MIODLESEX,1154,54,it,,153,102,54,64,70,76,106,125,137,148,162,,27
,,1755,,25,48,247,95,54,61,76,81,88,95,112,125,148,,27
,,,54 55,36,48,247,97,54,62,73,80,88,102,116,134,148,,27
,LAKEHURST N J,1755,,22,25,520,101,46,54,72,78,83,88,95,112,125,,27
,KANAWHA W VA,,54,26,56,257,134,76,83,95,106,120,137,148,168,226,,27
,,1755,55,15,67,252 2521155,,76,106,125,131,142,148,207,226,266,,27
,,,54,41,56,257,141,72,87,102,116,131,142,159,207,244,,27
,HILLSBOROUGH FLA,,53,4,79,149,110,,83,83,90,90,90,148,148,175,,27
,,,54,37,,220,81,43,48,53,60,68,74,90,131,148,,27
,,1755,55,19,15,482,137,46,64,76,112,125,137,157,175,226,,27
,,,53 55,60,12,482,101,44,52,60,69,79,106,128,148,171,,27
,FULTON Co,1753,53,2,66,159 1591112,112,,,76,76,76,76,76,175,175,,27
,,,54,42,24,222,106,50,59,76,90,98,106,125,148,i188,,27
,,1155,55,20,21,301,96,33,590,59,70,81,90,106,125,175,,27
,,,53 55,64,24,301,103,47,57,68,82,93,103,122,144,186,,27
,HAMILTON,,53,,133,388,226,133,133,140,140,148,207,207,371,371,,27
,,1754,54,55,33,355,122,39,50,64,719 79,98,120,148,199,255,,27
,,1755,55,,,,,,,,,,,,,,,27
,,,,6,,138,104,76,76,98,98,106,116,116,125,125,,27
,,,53 55,67,33,388,130,43,53,71,90,109,128,145,201,255,,27
,TONKA,1453,53,7,45,243,99,43,43,46,54,70,70,76,207,207,,27
,,,54,37,41,630,102,44,48,56,64,78,84,98,125,175,,27
,,,53 54,44,41,630,102,43,48,54,64,74,82,98,125,196,,27
,EDINA,,54,6,65,178,114,76,76,90,90,106,125,125,148,148,,27
,,1755,55,23,17,349,105,20,398 38,49,54,90,101,125,148,244,,27
,,,54,29,17,349,107,35,39,54,83,94,102,125,148,207,,27
,DENVER COUNTY COLO,,54,21,30,141,78,39,46,54,61,76,85,98,112,125,,27
,,1755,55,,19,153,81,26,33,57,64,81,90,101,131,142,,27
,,,54 55,43,19,153,80,31,44,56,62,78,88,100,116,137,,27
,,1753,53,,138,138,138,,,,,148,148,148,148,148,,27
,,,54,27,23,3255 355,89,35,39,49,57,68,76,98,125,140,,27
,,1755,,20,24,,83,43,48,,57,62,70,90,125,162,,27
,,,53 55,48,23,355,88,37,46,,57,64,76,106,125,148,,27
,MULTONMAH CNTY ORE,,54 55,17,50,451,186,76,90,101,25,175,207,266,305,323,,27
,,,53 55,471,,630,,43,53,64,77,89,106,126,146,202,,27
,LITCHFIELD,,,,,,,,,,,,,,,,,27
,,,54,5,17,,,17,17,33,33,46,46,83,83,90,,27
,,1755,55,17,9,102,56,17,28,41,44,64,67,73,83,90,,27
33,,,54 55,22,9,102,55,16,28,40,43,46,67,73,a3,90,,27
co,,,,,,,,,,,,,,,,,,27
am,,,,,,,,,,,,,,,,,,27
an,,,,,,,,,,,,,,,,,,27
on,,,,,,,,,,,,,,,,,,27
Nw,,,,,,,,,,,,,,,,,,27
om,,,,,,,,,,,,,,,,,,27
vo,,,,,,,,,,,,,,,,,,27
,G,ogle,,,,,,,,,,,,,,,,27
oa,O,,,,,,,,,,,,,,,,,27
