Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Page
,,,,,,2,3,3,5,,10 19,22,,171
CNTY MASS,1455 55 23,,30,9,1,,,,,9,,,,171
,55 56 i7,,39,8,1,3,4,5,5,,10 13,16,,171
KANAWHA VA,55,,20,3,,1,1,2,3,3,4 5,6,,171
DENVER COUNTY,54 55 10,,5,2,1,1,2,2,2,3,3 4,4,,171
,54 56 67,,39,6,1,1,2,3,4,4,6 10,19,,171
PT WORONZOF ALASKA,55 56 12,,200,30,2,5,9,9,10,20,20 30,30,,171
